,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.88713175,0.88399076,0.8379598,0.90380865,0.89000803,0.89661986,0.91013265,0.90806353,0.8869724,0.89056206
Elizabeth,0.9083715,0.90642655,0.8611493,0.92026585,0.8832584,0.9265239,0.9390738,0.9170933,0.90314585,0.9077523
Patricia,0.94633037,0.9535863,0.9120673,0.9328252,0.8380639,0.95458394,0.9477517,0.89660555,0.9184406,0.9147687
Jennifer,0.94585943,0.9499441,0.90772295,0.9363856,0.8564091,0.98419505,0.9873443,0.91300774,0.92055786,0.918031
Linda,0.9608418,0.9744375,0.9171936,0.9588767,0.8655891,0.95229346,0.95054257,0.9207996,0.93596154,0.9276691
Barbara,0.9555099,0.959468,0.91616315,0.94029176,0.8545762,0.9493274,0.9464751,0.9089804,0.9284428,0.92300355
Margaret,0.9475488,0.9405786,0.88168263,0.9546618,0.91799617,0.9113991,0.9179608,0.9497697,0.9519559,0.94916546
Susan,0.9434019,0.94591534,0.9006148,0.9407766,0.8746526,0.97412044,0.98015463,0.9227663,0.92416126,0.92484134
Dorothy,0.917702,0.9223619,0.9260174,0.9020272,0.8172379,0.92121965,0.91881347,0.866776,0.88544905,0.8854734
Sarah,0.8769436,0.87525535,0.8292713,0.8924798,0.8846202,0.8891191,0.9016856,0.90071636,0.88099706,0.88600194
Jessica,0.90600324,0.90414035,0.8566665,0.9149662,0.8846664,0.92519623,0.9372254,0.91375047,0.90338343,0.9057736
Helen,0.95135754,0.94717294,0.8888113,0.95305187,0.9078798,0.9235179,0.92777383,0.9397002,0.9494713,0.9439874
Nancy,0.96109766,0.95938826,0.89647865,0.96342486,0.91337353,0.930153,0.934499,0.9500134,0.9547495,0.9540055
Betty,0.95135194,0.9480082,0.8847217,0.954921,0.90802467,0.92055714,0.9254617,0.9472656,0.9437976,0.9511205
Karen,0.9537783,0.9545394,0.8944496,0.95962095,0.91388464,0.92675334,0.93129045,0.9435692,0.949846,0.947173
Lisa,0.9494914,0.9559003,0.9121607,0.9413757,0.8611516,0.98648524,0.98690516,0.9165829,0.9222543,0.9208593
Anna,0.88992333,0.8870667,0.8408255,0.90365326,0.8827814,0.9057058,0.9182737,0.90591335,0.8910316,0.8943878
Sandra,0.9565274,0.95567316,0.89507645,0.96102643,0.9100836,0.9305007,0.93585,0.94082135,0.9518726,0.94170177
Emily,0.94044435,0.94229376,0.89758253,0.9377769,0.87591696,0.9708909,0.9762477,0.9234736,0.9250376,0.92355865
Ashley,0.93989456,0.939156,0.88034344,0.94578767,0.905627,0.91436476,0.9165027,0.94083023,0.9431865,0.9430959
