,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.8822897,0.8786623,0.83106345,0.89636433,0.8884596,0.8919366,0.90603137,0.9039445,0.88643277,0.8900557
Vincent,0.9582125,0.9650261,0.9147518,0.94872576,0.86022127,0.95765877,0.9558334,0.91317546,0.9332827,0.9247898
Victor,0.95689046,0.9437764,0.8883934,0.9555018,0.912429,0.9194282,0.927523,0.94705373,0.9505393,0.9542282
Adrian,0.9496556,0.95975876,0.9145554,0.9373978,0.84946394,0.95171255,0.94663393,0.90435344,0.9242392,0.915362
Marcus,0.8978598,0.8920733,0.84725034,0.90784824,0.88778377,0.9111119,0.92646575,0.90888727,0.8959168,0.8988383
Leo,0.9409051,0.93697405,0.8684585,0.9531645,0.92648816,0.90308696,0.9117378,0.9478496,0.9450786,0.9427088
Miles,0.9264737,0.916108,0.85605484,0.9409173,0.91775084,0.88121223,0.89185184,0.9339002,0.9239443,0.92311084
Roman,0.94751,0.9482959,0.90354866,0.94320875,0.87177444,0.97757065,0.98517996,0.92600644,0.9270906,0.92750686
Sergio,0.93106043,0.93207216,0.92904156,0.9158409,0.8355941,0.9311887,0.93126976,0.8870678,0.8996349,0.8931094
Felix,0.96208835,0.9662642,0.9145448,0.94792616,0.8589592,0.959472,0.95748496,0.9181559,0.93421483,0.927428
Patricia,0.94633037,0.9535863,0.9120673,0.9328252,0.8380639,0.95458394,0.9477517,0.89660555,0.9184406,0.9147687
Laura,0.95007956,0.9546121,0.90986776,0.942686,0.864793,0.9834664,0.98654747,0.9197347,0.92446333,0.9232154
Amanda,0.93960273,0.9371404,0.8784052,0.948472,0.9108165,0.90634185,0.9134512,0.93600816,0.94447124,0.9389222
Victoria,0.941914,0.94429713,0.89979446,0.9377603,0.86439365,0.9766628,0.98233175,0.9178282,0.92043036,0.91997695
Julia,0.95309305,0.9494779,0.8907691,0.95292735,0.89830697,0.927411,0.93219644,0.9378272,0.94913286,0.9449564
Gloria,0.9265027,0.92984235,0.9232244,0.9130035,0.8308909,0.92838997,0.9282372,0.8823289,0.8956005,0.89937854
Diana,0.9582827,0.96532714,0.92027575,0.94544786,0.8560444,0.95622355,0.9519685,0.91080153,0.9298873,0.9247262
Clara,0.9496435,0.94184506,0.88205504,0.95193,0.91275275,0.9082638,0.9162807,0.9455279,0.951342,0.947054
Paula,0.94638914,0.94001126,0.87941456,0.94674474,0.902876,0.9182794,0.9241108,0.9362893,0.9436918,0.94178665
Norma,0.9632046,0.9595358,0.9119533,0.9471416,0.8695768,0.9539352,0.95397276,0.92142683,0.9333134,0.9334499
