,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.88685703,0.85569304,0.8403758,0.90087867,0.8702707,0.8473037,0.8870133,0.8823259,0.8229377,0.96499145
John,0.8959621,0.861751,0.849248,0.9089465,0.87967575,0.856224,0.8950521,0.8883792,0.8302873,0.9648435
Robert,0.9067806,0.8691326,0.85984397,0.9206348,0.88776535,0.8687219,0.90283406,0.8986085,0.83901036,0.97184736
Michael,0.89109844,0.8583935,0.8431805,0.90470177,0.87274235,0.85358435,0.8906343,0.8855927,0.82717365,0.9657248
William,0.95016617,0.8957431,0.9021529,0.9618081,0.92343426,0.90897447,0.9337204,0.92768955,0.87715244,0.9559001
David,0.88028663,0.8510934,0.8343622,0.8934727,0.8652701,0.84172666,0.8813507,0.8757168,0.81795055,0.96159977
Joseph,0.90712833,0.8682067,0.86181414,0.92016006,0.8882317,0.86950576,0.9033211,0.89677244,0.8395875,0.96809274
Richard,0.9246374,0.8812948,0.87627405,0.937494,0.9021282,0.8834407,0.9159447,0.9108156,0.85414207,0.96960425
Charles,0.90537417,0.86750734,0.85974115,0.91743696,0.8848118,0.86554986,0.90126485,0.89460224,0.8377116,0.9652237
Thomas,0.88436866,0.8580651,0.8374196,0.8976568,0.8688188,0.84619707,0.8871938,0.88103026,0.82100827,0.9681916
Christopher,0.9029256,0.8664192,0.8554962,0.91623205,0.88317055,0.8622774,0.89968026,0.894495,0.83600956,0.969247
Daniel,0.8923725,0.8562761,0.8463293,0.90556306,0.87338775,0.8516679,0.89140874,0.8836849,0.82650995,0.9667316
Matthew,0.897246,0.86036503,0.8487351,0.9095782,0.87649995,0.8569439,0.89445263,0.8896318,0.83060366,0.9621541
George,0.9017146,0.86449367,0.8561385,0.915962,0.88307333,0.8618368,0.8996983,0.89369714,0.8351832,0.96987164
Anthony,0.89509386,0.85494447,0.8458844,0.9046703,0.87340754,0.85186565,0.8906877,0.88287956,0.82753384,0.96496034
Donald,0.9369402,0.8856695,0.8897341,0.9479097,0.9103571,0.8946195,0.92363805,0.91750014,0.8640158,0.96770394
Paul,0.89305174,0.85633147,0.8474617,0.9051787,0.8742907,0.8527242,0.8906974,0.88251853,0.8277158,0.9624357
Mark,0.89726436,0.8677393,0.8498544,0.9095128,0.8802092,0.8576885,0.8958959,0.88895637,0.8332308,0.96302474
Andrew,0.88444173,0.85236263,0.83761024,0.896075,0.8661348,0.8427967,0.88500243,0.8788777,0.821193,0.9607573
Edward,0.9537442,0.8951805,0.90737504,0.9650858,0.92436224,0.9123973,0.9362402,0.9292815,0.8800302,0.95295876
