"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.845814,"Yes"
"James","M","Nurse.Practitioner",0.83554196,"Yes"
"James","M","Health.Services.Manager",0.8672434,"Yes"
"James","M","Physicians.Assistant",0.8693686,"Yes"
"James","M","Security.Analyst",0.8583555,"Yes"
"James","M","IT.Manager",0.8980652,"Yes"
"James","M","Web.Developer",0.84045947,"Yes"
"James","M","Dentist",0.85703,"Yes"
"James","M","Orthodontist",0.8184832,"Yes"
"James","M","Computer.Systems.Analyst",0.86472815,"Yes"
"John","M","Software.Developer",0.8557257,"Yes"
"John","M","Nurse.Practitioner",0.8372772,"Yes"
"John","M","Health.Services.Manager",0.8661454,"Yes"
"John","M","Physicians.Assistant",0.87325513,"Yes"
"John","M","Security.Analyst",0.8657142,"Yes"
"John","M","IT.Manager",0.8985449,"Yes"
"John","M","Web.Developer",0.84898335,"Yes"
"John","M","Dentist",0.865398,"Yes"
"John","M","Orthodontist",0.8234283,"Yes"
"John","M","Computer.Systems.Analyst",0.8664042,"Yes"
"Robert","M","Software.Developer",0.8663266,"Yes"
"Robert","M","Nurse.Practitioner",0.84112644,"Yes"
"Robert","M","Health.Services.Manager",0.8716881,"Yes"
"Robert","M","Physicians.Assistant",0.8818077,"Yes"
"Robert","M","Security.Analyst",0.87558335,"Yes"
"Robert","M","IT.Manager",0.90524215,"Yes"
"Robert","M","Web.Developer",0.8604634,"Yes"
"Robert","M","Dentist",0.8750507,"Yes"
"Robert","M","Orthodontist",0.8318141,"Yes"
"Robert","M","Computer.Systems.Analyst",0.8727813,"Yes"
"Michael","M","Software.Developer",0.85138613,"Yes"
"Michael","M","Nurse.Practitioner",0.8325793,"Yes"
"Michael","M","Health.Services.Manager",0.86404717,"Yes"
"Michael","M","Physicians.Assistant",0.869172,"Yes"
"Michael","M","Security.Analyst",0.8620994,"Yes"
"Michael","M","IT.Manager",0.89623463,"Yes"
"Michael","M","Web.Developer",0.8459147,"Yes"
"Michael","M","Dentist",0.8585111,"Yes"
"Michael","M","Orthodontist",0.81557804,"Yes"
"Michael","M","Computer.Systems.Analyst",0.8603754,"Yes"
"William","M","Software.Developer",0.910072,"Yes"
"William","M","Nurse.Practitioner",0.84416234,"Yes"
"William","M","Health.Services.Manager",0.8703685,"Yes"
"William","M","Physicians.Assistant",0.89755046,"Yes"
"William","M","Security.Analyst",0.9155601,"Yes"
"William","M","IT.Manager",0.9071562,"Yes"
"William","M","Web.Developer",0.9044314,"Yes"
"William","M","Dentist",0.9067233,"Yes"
"William","M","Orthodontist",0.8521209,"Yes"
"William","M","Computer.Systems.Analyst",0.87856925,"Yes"
"David","M","Software.Developer",0.8396312,"Yes"
"David","M","Nurse.Practitioner",0.83139914,"Yes"
"David","M","Health.Services.Manager",0.85954386,"Yes"
"David","M","Physicians.Assistant",0.86162376,"Yes"
"David","M","Security.Analyst",0.85158485,"Yes"
"David","M","IT.Manager",0.8920974,"Yes"
"David","M","Web.Developer",0.83575284,"Yes"
"David","M","Dentist",0.8517985,"Yes"
"David","M","Orthodontist",0.8121606,"Yes"
"David","M","Computer.Systems.Analyst",0.8539921,"Yes"
"Joseph","M","Software.Developer",0.8663799,"Yes"
"Joseph","M","Nurse.Practitioner",0.8394419,"Yes"
"Joseph","M","Health.Services.Manager",0.87106764,"Yes"
"Joseph","M","Physicians.Assistant",0.8797606,"Yes"
"Joseph","M","Security.Analyst",0.87584895,"Yes"
"Joseph","M","IT.Manager",0.9020993,"Yes"
"Joseph","M","Web.Developer",0.861456,"Yes"
"Joseph","M","Dentist",0.8744868,"Yes"
"Joseph","M","Orthodontist",0.82958627,"Yes"
"Joseph","M","Computer.Systems.Analyst",0.86989486,"Yes"
"Richard","M","Software.Developer",0.88311756,"Yes"
"Richard","M","Nurse.Practitioner",0.84330356,"Yes"
"Richard","M","Health.Services.Manager",0.8709516,"Yes"
"Richard","M","Physicians.Assistant",0.8877404,"Yes"
"Richard","M","Security.Analyst",0.8915549,"Yes"
"Richard","M","IT.Manager",0.90704596,"Yes"
"Richard","M","Web.Developer",0.8775661,"Yes"
"Richard","M","Dentist",0.8869854,"Yes"
"Richard","M","Orthodontist",0.8389979,"Yes"
"Richard","M","Computer.Systems.Analyst",0.87529546,"Yes"
"Charles","M","Software.Developer",0.86463934,"Yes"
"Charles","M","Nurse.Practitioner",0.8362958,"Yes"
"Charles","M","Health.Services.Manager",0.8672711,"Yes"
"Charles","M","Physicians.Assistant",0.8769836,"Yes"
"Charles","M","Security.Analyst",0.8740426,"Yes"
"Charles","M","IT.Manager",0.90146327,"Yes"
"Charles","M","Web.Developer",0.8585654,"Yes"
"Charles","M","Dentist",0.8724755,"Yes"
"Charles","M","Orthodontist",0.82848585,"Yes"
"Charles","M","Computer.Systems.Analyst",0.87074983,"Yes"
"Thomas","M","Software.Developer",0.8422351,"Yes"
"Thomas","M","Nurse.Practitioner",0.8421589,"Yes"
"Thomas","M","Health.Services.Manager",0.87097675,"Yes"
"Thomas","M","Physicians.Assistant",0.8717287,"Yes"
"Thomas","M","Security.Analyst",0.8555556,"Yes"
"Thomas","M","IT.Manager",0.90138394,"Yes"
"Thomas","M","Web.Developer",0.8374051,"Yes"
"Thomas","M","Dentist",0.85624063,"Yes"
"Thomas","M","Orthodontist",0.82196575,"Yes"
"Thomas","M","Computer.Systems.Analyst",0.8667659,"Yes"
"Christopher","M","Software.Developer",0.8611758,"Yes"
"Christopher","M","Nurse.Practitioner",0.8361168,"Yes"
"Christopher","M","Health.Services.Manager",0.86571515,"Yes"
"Christopher","M","Physicians.Assistant",0.87486005,"Yes"
"Christopher","M","Security.Analyst",0.8706575,"Yes"
"Christopher","M","IT.Manager",0.9005082,"Yes"
"Christopher","M","Web.Developer",0.8569343,"Yes"
"Christopher","M","Dentist",0.86957175,"Yes"
"Christopher","M","Orthodontist",0.82562935,"Yes"
"Christopher","M","Computer.Systems.Analyst",0.8669782,"Yes"
"Daniel","M","Software.Developer",0.8509598,"Yes"
"Daniel","M","Nurse.Practitioner",0.8295483,"Yes"
"Daniel","M","Health.Services.Manager",0.8600836,"Yes"
"Daniel","M","Physicians.Assistant",0.86553115,"Yes"
"Daniel","M","Security.Analyst",0.85990936,"Yes"
"Daniel","M","IT.Manager",0.89473736,"Yes"
"Daniel","M","Web.Developer",0.84671265,"Yes"
"Daniel","M","Dentist",0.8594345,"Yes"
"Daniel","M","Orthodontist",0.8151148,"Yes"
"Daniel","M","Computer.Systems.Analyst",0.85892314,"Yes"
"Matthew","M","Software.Developer",0.85631126,"Yes"
"Matthew","M","Nurse.Practitioner",0.8286685,"Yes"
"Matthew","M","Health.Services.Manager",0.86150753,"Yes"
"Matthew","M","Physicians.Assistant",0.8695664,"Yes"
"Matthew","M","Security.Analyst",0.8652113,"Yes"
"Matthew","M","IT.Manager",0.896174,"Yes"
"Matthew","M","Web.Developer",0.85157365,"Yes"
"Matthew","M","Dentist",0.8632139,"Yes"
"Matthew","M","Orthodontist",0.81730425,"Yes"
"Matthew","M","Computer.Systems.Analyst",0.86057776,"Yes"
"George","M","Software.Developer",0.8607592,"Yes"
"George","M","Nurse.Practitioner",0.8337894,"Yes"
"George","M","Health.Services.Manager",0.8649716,"Yes"
"George","M","Physicians.Assistant",0.8728466,"Yes"
"George","M","Security.Analyst",0.8701824,"Yes"
"George","M","IT.Manager",0.9007677,"Yes"
"George","M","Web.Developer",0.8559261,"Yes"
"George","M","Dentist",0.86771125,"Yes"
"George","M","Orthodontist",0.8246521,"Yes"
"George","M","Computer.Systems.Analyst",0.86547357,"Yes"
"Anthony","M","Software.Developer",0.85026205,"Yes"
"Anthony","M","Nurse.Practitioner",0.8268743,"Yes"
"Anthony","M","Health.Services.Manager",0.85669756,"Yes"
"Anthony","M","Physicians.Assistant",0.8640447,"Yes"
"Anthony","M","Security.Analyst",0.859974,"Yes"
"Anthony","M","IT.Manager",0.89284796,"Yes"
"Anthony","M","Web.Developer",0.8468098,"Yes"
"Anthony","M","Dentist",0.8593645,"Yes"
"Anthony","M","Orthodontist",0.8151456,"Yes"
"Anthony","M","Computer.Systems.Analyst",0.85487574,"Yes"
"Donald","M","Software.Developer",0.8949563,"Yes"
"Donald","M","Nurse.Practitioner",0.83841777,"Yes"
"Donald","M","Health.Services.Manager",0.8668412,"Yes"
"Donald","M","Physicians.Assistant",0.88837594,"Yes"
"Donald","M","Security.Analyst",0.90172964,"Yes"
"Donald","M","IT.Manager",0.9037982,"Yes"
"Donald","M","Web.Developer",0.8905904,"Yes"
"Donald","M","Dentist",0.8946689,"Yes"
"Donald","M","Orthodontist",0.84225506,"Yes"
"Donald","M","Computer.Systems.Analyst",0.87543887,"Yes"
"Paul","M","Software.Developer",0.85120416,"Yes"
"Paul","M","Nurse.Practitioner",0.8284681,"Yes"
"Paul","M","Health.Services.Manager",0.8569189,"Yes"
"Paul","M","Physicians.Assistant",0.8651755,"Yes"
"Paul","M","Security.Analyst",0.8595649,"Yes"
"Paul","M","IT.Manager",0.8927855,"Yes"
"Paul","M","Web.Developer",0.8485478,"Yes"
"Paul","M","Dentist",0.8596301,"Yes"
"Paul","M","Orthodontist",0.8151268,"Yes"
