,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.99380046,0.99498713,0.9634173,0.99518466,0.99490297,0.9955121,0.9957709,0.99582314,0.9949341,0.9908023
Kameron,0.9984395,0.99522513,0.9632499,0.9965889,0.9990523,0.999135,0.9963787,0.9965073,0.99615794,0.98922247
Kendrick,0.99892986,0.9932279,0.96216446,0.99482024,0.9993264,0.9989929,0.9947263,0.9947613,0.99457735,0.9867972
Javon,0.9949363,0.9968087,0.964497,0.9974217,0.9958935,0.9966407,0.99701494,0.9968567,0.9974767,0.99114335
Tyrell,0.9985645,0.99594694,0.9633451,0.9973661,0.9990565,0.99912256,0.99694693,0.9972107,0.99655616,0.9898767
Jamar,0.9949363,0.9968087,0.964497,0.9974217,0.9958935,0.9966407,0.99701494,0.9968567,0.9974767,0.99114335
Camron,0.9983495,0.99326533,0.9627831,0.9950706,0.99915016,0.99879974,0.9948852,0.9947941,0.9945844,0.98686147
Tyree,0.9985645,0.99594694,0.9633451,0.9973661,0.9990565,0.99912256,0.99694693,0.9972107,0.99655616,0.9898767
Jamari,0.9949363,0.9968087,0.964497,0.9974217,0.9958935,0.9966407,0.99701494,0.9968567,0.9974767,0.99114335
Reggie,0.9982668,0.99297965,0.9622147,0.9946386,0.9989687,0.9986291,0.99441123,0.9944474,0.9941656,0.9870779
Jada,0.9949363,0.9968087,0.964497,0.9974217,0.9958935,0.9966407,0.99701494,0.9968567,0.9974767,0.99114335
Latoya,0.994357,0.99899495,0.965142,0.9979478,0.9949403,0.9962057,0.99741316,0.9974289,0.99784595,0.9927698
Jayla,0.9949363,0.9968087,0.964497,0.9974217,0.9958935,0.9966407,0.99701494,0.9968567,0.9974767,0.99114335
Tamika,0.9986871,0.99403214,0.9628223,0.99584174,0.999362,0.998932,0.9953779,0.99548674,0.99509716,0.98782545
Latoyna,0.994357,0.99899495,0.965142,0.9979478,0.9949403,0.9962057,0.99741316,0.9974289,0.99784595,0.9927698
Journey,0.99298406,0.99482125,0.9734572,0.9951254,0.9944689,0.9953497,0.99608064,0.9959441,0.9951042,0.9899227
Tameka,0.9986871,0.99403214,0.9628223,0.99584174,0.999362,0.998932,0.9953779,0.99548674,0.99509716,0.98782545
Journee,0.99096453,0.9954194,0.9634538,0.9947517,0.9920414,0.9932995,0.9948691,0.9946695,0.9947963,0.9919182
Lawanda,0.9900568,0.9940197,0.9621956,0.9930501,0.9911126,0.992318,0.99415535,0.9936166,0.993027,0.9917184
Janiya,0.9988153,0.9943081,0.9623684,0.99592733,0.9991737,0.99866396,0.99536467,0.9955395,0.9953524,0.98843104
