,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.9966203,0.9972777,0.9642228,0.99814206,0.9974087,0.9980045,0.99766874,0.99791914,0.99748653,0.9913355
Shan,0.999,0.9920833,0.9603282,0.9939123,0.9979291,0.99738663,0.99313855,0.993156,0.9930182,0.9861024
Lew,0.99498004,0.99783385,0.9641352,0.9980544,0.995338,0.99641037,0.9973657,0.9972104,0.9977255,0.9922127
Long,0.9985777,0.9915818,0.96074724,0.9934377,0.998026,0.99726194,0.9926803,0.9927217,0.9928161,0.9856264
Quan,0.9977666,0.9906099,0.9611794,0.99271935,0.9983025,0.9974914,0.99243504,0.9922655,0.9920511,0.98420125
Jun,0.9985416,0.9921736,0.9618493,0.99405247,0.9988863,0.9983435,0.99382865,0.99377614,0.99344635,0.9859675
Tou,0.9970429,0.9965381,0.9648763,0.9979135,0.99797446,0.9983374,0.9973313,0.997505,0.9972768,0.99110204
Jin,0.99805206,0.9962864,0.9632169,0.9975614,0.99864256,0.99890155,0.9973956,0.9975706,0.9969531,0.99058867
Cai,0.997886,0.99599946,0.9624714,0.9967396,0.9980477,0.9983391,0.9966402,0.9969886,0.9966178,0.99017626
Chan,0.9989678,0.99289274,0.96186364,0.99472916,0.9990612,0.9986121,0.99436325,0.9943723,0.9941265,0.98658377
Lue,0.99370754,0.9958243,0.9642978,0.9960598,0.9949172,0.99590254,0.9962503,0.99605346,0.9959831,0.9906358
China,0.98730725,0.990867,0.9810077,0.99085546,0.98896366,0.9901687,0.9915738,0.99126244,0.9908953,0.9864038
Lu,0.99849564,0.9961322,0.9639669,0.99747556,0.9990378,0.9991461,0.99698263,0.99718934,0.9967953,0.9901313
Maylee,0.9950366,0.9970283,0.9646884,0.9969503,0.99580127,0.9969122,0.9973005,0.99730116,0.99707276,0.9921627
Tennie,0.96708494,0.9697598,0.991749,0.96882063,0.9692305,0.9705171,0.97009784,0.9690617,0.96962893,0.9616241
Maylin,0.9950366,0.9970283,0.9646884,0.9969503,0.99580127,0.9969122,0.9973005,0.99730116,0.99707276,0.9921627
Chynna,0.99942636,0.9936344,0.96067214,0.9953337,0.9983853,0.99805623,0.99454635,0.9948485,0.99459493,0.98761135
Jia,0.99869233,0.99333835,0.9623811,0.9948499,0.99925226,0.998872,0.994813,0.99477303,0.9945802,0.9869853
Mei,0.9979829,0.9914422,0.9613161,0.9935545,0.99843067,0.9975243,0.9928853,0.9930296,0.99270254,0.9855616
Tylee,0.9983526,0.99566215,0.9645205,0.9968607,0.999306,0.9995779,0.99700826,0.9969732,0.99658304,0.9893955
