,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.99656284,0.99744445,0.9957287,0.9969579,0.994714,0.9970444,0.99114853,0.9968404,0.9932734,0.99704564
Elizabeth,0.9967327,0.9974891,0.99484926,0.99683505,0.99445814,0.99672467,0.9904404,0.99709815,0.99279153,0.99701726
Patricia,0.99646306,0.9971475,0.99542165,0.99702734,0.9942647,0.99627167,0.99166435,0.99668866,0.993631,0.99736655
Jennifer,0.9971797,0.99764794,0.9952498,0.9976572,0.9941531,0.9969182,0.9898892,0.996835,0.99285674,0.9978069
Linda,0.9970572,0.9973761,0.9954728,0.9975793,0.99383503,0.99728775,0.9910017,0.997491,0.99316496,0.99768704
Barbara,0.99668103,0.99720067,0.99455667,0.9969746,0.9930507,0.99646795,0.9892328,0.99708194,0.99217445,0.9972774
Margaret,0.9974448,0.99784935,0.99565184,0.9979198,0.9945657,0.9971818,0.9907951,0.99766153,0.99354094,0.99768406
Susan,0.9952755,0.996171,0.9928549,0.99532646,0.99186796,0.99460644,0.987692,0.9954437,0.9909775,0.9959106
Dorothy,0.99700207,0.9975946,0.99504066,0.9974916,0.9942122,0.9965611,0.99032074,0.9970257,0.99300325,0.9979121
Sarah,0.99693716,0.99781126,0.99537045,0.997368,0.99365884,0.9968018,0.98965514,0.99714637,0.99248415,0.9976873
Jessica,0.9947653,0.9957929,0.9922132,0.9946303,0.991521,0.994062,0.9871159,0.99495256,0.9903579,0.9953845
Helen,0.9929406,0.99398434,0.98980975,0.99226075,0.9897323,0.99173176,0.9852717,0.99281186,0.9884477,0.9933122
Nancy,0.9952138,0.9961682,0.99242413,0.99479765,0.99177146,0.9943712,0.98752105,0.995151,0.99069667,0.9956681
Betty,0.99721634,0.9980567,0.9954834,0.99745506,0.9947406,0.99665904,0.99141383,0.9974851,0.99321157,0.998117
Karen,0.9972558,0.9980863,0.9952423,0.99758387,0.99442965,0.9968765,0.99034804,0.99742675,0.9929947,0.99790436
Lisa,0.9972807,0.998014,0.99524176,0.9971146,0.99441415,0.9965515,0.9904158,0.9975214,0.992889,0.997592
Anna,0.9968976,0.997849,0.99581605,0.9982121,0.99435425,0.9971483,0.99054676,0.99778485,0.9933426,0.9981395
Sandra,0.99449766,0.99543154,0.9918181,0.99432606,0.9910255,0.99372834,0.9868329,0.9945563,0.9901286,0.99519485
Emily,0.99736995,0.9976104,0.9953652,0.9972404,0.9941722,0.9968604,0.99045485,0.9973315,0.9930622,0.9979115
Ashley,0.9956248,0.99542826,0.99473995,0.99535173,0.9929289,0.9949758,0.9922006,0.9951296,0.9936031,0.9962666
