,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.99721444,0.9957741,0.99555016,0.9963276,0.9970136,0.9931695,0.99562687,0.97046226,0.99462074,0.9970813
Elizabeth,0.9975031,0.9953474,0.9964389,0.9967978,0.99648625,0.99413484,0.9964317,0.9688902,0.9941063,0.9967984
Patricia,0.9973259,0.9962944,0.99551564,0.99635,0.9967865,0.9931551,0.9954163,0.9711734,0.99410045,0.9964536
Jennifer,0.998061,0.9965247,0.99632317,0.9974915,0.99731094,0.993985,0.9964788,0.96999943,0.99446374,0.9971
Linda,0.9977648,0.99650276,0.9956978,0.99704695,0.99765563,0.99336475,0.9959732,0.9703438,0.99531156,0.9974978
Barbara,0.9977093,0.9958603,0.9964806,0.9972223,0.9974822,0.99438566,0.9965278,0.97018677,0.9937781,0.9964566
Margaret,0.9982628,0.99627095,0.99710155,0.99707043,0.9975825,0.99504286,0.99714184,0.9711351,0.9950547,0.9973686
Susan,0.9963648,0.99411297,0.9991019,0.99540913,0.9957905,0.99867207,0.99913776,0.96822244,0.9924089,0.99490285
Dorothy,0.9980321,0.9959801,0.9979318,0.99711394,0.99737215,0.9961501,0.99795574,0.9702006,0.9939859,0.99689066
Sarah,0.9978037,0.995982,0.99620414,0.99709535,0.9968948,0.9938072,0.9962218,0.9695683,0.9941761,0.9972018
Jessica,0.9959116,0.9932315,0.99915034,0.995038,0.99524087,0.9990647,0.9991063,0.96767974,0.9917577,0.9943664
Helen,0.9939008,0.99119985,0.9983393,0.9928052,0.99318624,0.9988525,0.99791646,0.96615875,0.98976445,0.9921537
Nancy,0.9962035,0.9934776,0.9992565,0.99532115,0.9955234,0.9989579,0.9991081,0.9682447,0.99214023,0.99460256
Betty,0.9983757,0.9963016,0.9971877,0.9970941,0.9975675,0.99521655,0.99730927,0.97099084,0.99454683,0.9975099
Karen,0.9983682,0.996317,0.9984378,0.9972981,0.9977802,0.9967514,0.99852395,0.9709064,0.99430346,0.9970252
Lisa,0.9982351,0.99596864,0.9987427,0.9974483,0.99748474,0.997444,0.998749,0.97101384,0.9942967,0.99662864
Anna,0.9986114,0.99657834,0.9968987,0.9975458,0.9981812,0.9946237,0.99711484,0.97100383,0.9948585,0.99740946
Sandra,0.9956626,0.9928604,0.99876004,0.994749,0.99491835,0.99845445,0.99892575,0.9665481,0.991462,0.99417466
Emily,0.99761784,0.99640846,0.99631953,0.99679226,0.9973208,0.994192,0.9964168,0.97033167,0.9946522,0.9971764
Ashley,0.9955333,0.9951982,0.99319875,0.9945746,0.9951118,0.99095136,0.9933535,0.97029,0.99392956,0.99551845
