,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.9968199,0.9959794,0.9951861,0.99702305,0.9966585,0.99301255,0.99537945,0.97183657,0.9950863,0.99661446
Vincent,0.9971343,0.9961917,0.9963381,0.9966223,0.996851,0.99430066,0.99621964,0.9703579,0.9942428,0.9962051
Victor,0.9964251,0.9939175,0.9991335,0.99558914,0.9961698,0.9985419,0.99922276,0.9686619,0.9928695,0.99511224
Adrian,0.9975989,0.99657536,0.99576235,0.9972229,0.9970981,0.9935513,0.99581546,0.97055644,0.9943739,0.9969002
Marcus,0.997412,0.99589354,0.9968978,0.99672335,0.9975384,0.9947776,0.9967946,0.9704932,0.99392724,0.9969735
Leo,0.9954921,0.992842,0.9993384,0.994616,0.99477637,0.99957496,0.99913913,0.9679183,0.9913557,0.9937494
Miles,0.9981833,0.9960875,0.99873704,0.9970608,0.99785435,0.997509,0.99888957,0.9708863,0.99511284,0.9972031
Roman,0.9977876,0.99562573,0.99907273,0.997178,0.9973496,0.99806225,0.99919736,0.9705629,0.9942279,0.99677813
Sergio,0.99763596,0.99605083,0.99637645,0.99723005,0.9973778,0.99431735,0.9965137,0.97002447,0.9942725,0.99685746
Felix,0.9982232,0.9960182,0.99835134,0.99736714,0.997827,0.9964461,0.99833184,0.97067803,0.99413526,0.99717075
Patricia,0.9973259,0.9962944,0.99551564,0.99635,0.9967865,0.9931551,0.9954163,0.9711734,0.99410045,0.9964536
Laura,0.9973674,0.99600637,0.9958418,0.99612254,0.99729705,0.99363995,0.9958815,0.96976155,0.9947395,0.9968747
Amanda,0.99777746,0.99613243,0.995717,0.99648213,0.99772435,0.9933792,0.9957781,0.96981126,0.9943991,0.99709344
Victoria,0.9970679,0.9947598,0.9950996,0.9965514,0.99663,0.9924939,0.9952864,0.96740735,0.99406886,0.9970691
Julia,0.99831384,0.9959937,0.9979866,0.9973435,0.99757993,0.99627364,0.9980416,0.97032577,0.99429995,0.99713224
Gloria,0.99778473,0.9964582,0.99604005,0.9967853,0.99687755,0.9936745,0.99616754,0.9701884,0.9945066,0.9974444
Diana,0.99610865,0.99363875,0.99934995,0.9953186,0.99541795,0.9993417,0.99940574,0.9682945,0.99191177,0.99444777
Clara,0.99854165,0.9966187,0.99807,0.9975911,0.9981002,0.99621046,0.99800146,0.9713572,0.99467903,0.9974775
Paula,0.9974852,0.9953478,0.9992695,0.9966283,0.996992,0.99835134,0.99905485,0.97037,0.99385035,0.9959854
Norma,0.99581677,0.99316084,0.9991702,0.99490976,0.99538755,0.9989249,0.99909085,0.9679929,0.99192244,0.9941951
