,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.96877855,0.9683766,0.9720208,0.9684145,0.96719956,0.96781254,0.97310483,0.9675549,0.971006,0.9676979
John,0.9697879,0.9688381,0.9735938,0.9699339,0.96853304,0.96949637,0.97485673,0.96864617,0.97271514,0.9684908
Robert,0.995876,0.9967426,0.9932742,0.99564123,0.9926897,0.99508834,0.9883111,0.99582833,0.9913999,0.99651325
Michael,0.996126,0.9968301,0.99565464,0.9971588,0.9936157,0.9963466,0.99213594,0.9968515,0.99451023,0.9972836
William,0.99670124,0.9968567,0.9958727,0.9969094,0.9944581,0.9965523,0.9925917,0.99660563,0.994362,0.9971371
David,0.97521996,0.9746446,0.9783547,0.9753421,0.9738702,0.9750546,0.9787489,0.97427076,0.9776992,0.9740803
Joseph,0.9693919,0.9689481,0.97305447,0.96946204,0.9686114,0.9688823,0.9748517,0.9683193,0.97339845,0.9685092
Richard,0.99686503,0.9972523,0.9950994,0.9968628,0.9940659,0.9967177,0.9909529,0.99667454,0.99291193,0.9970717
Charles,0.96152556,0.96107745,0.96396005,0.9609348,0.95786715,0.9597388,0.96362185,0.96042496,0.96262765,0.96057516
Thomas,0.9966859,0.9976956,0.9949119,0.99728006,0.99387777,0.9966808,0.99069244,0.9971796,0.9930645,0.9975117
Christopher,0.99633634,0.99723345,0.99407196,0.9961802,0.9936208,0.9957745,0.98919666,0.9965322,0.9918572,0.9970071
Daniel,0.9961844,0.99626845,0.9954096,0.99716854,0.99368876,0.9967318,0.9917608,0.99603665,0.9938994,0.99719644
Matthew,0.99608016,0.9966289,0.9950629,0.9969994,0.9938085,0.99637705,0.991095,0.99676573,0.99356973,0.9970742
George,0.9949808,0.99586123,0.9923253,0.99477124,0.99155164,0.9943314,0.98733336,0.99501663,0.9905669,0.99561894
Anthony,0.99691224,0.99773604,0.9949751,0.9973048,0.9939243,0.9965538,0.99035215,0.99746376,0.99319285,0.99752945
Donald,0.9948031,0.9959029,0.99237764,0.9947165,0.9919102,0.9940233,0.9874045,0.9950011,0.9903666,0.9953733
Paul,0.99658614,0.996567,0.9953403,0.99669,0.99434304,0.9966613,0.9920126,0.99662906,0.9935346,0.9972875
Mark,0.99696004,0.9976414,0.99545664,0.99784374,0.99400157,0.99697113,0.9908049,0.9976517,0.9931423,0.99759257
Andrew,0.996416,0.99689937,0.99487376,0.9964651,0.9940366,0.99606186,0.99133134,0.99693745,0.9932807,0.99723196
Edward,0.9969274,0.997349,0.99564344,0.997454,0.99419963,0.9967289,0.9904008,0.9974618,0.99295837,0.9975865
