,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.9680222,0.96810734,0.9670202,0.96704286,0.9684973,0.96524787,0.9668551,0.99500203,0.9672433,0.96699864
John,0.9689073,0.969759,0.96727467,0.9685175,0.96996737,0.96514904,0.967153,0.99421495,0.96920913,0.96828234
Robert,0.9967734,0.99428046,0.99918735,0.99592036,0.99609935,0.9985265,0.9992774,0.9682897,0.9928534,0.9954638
Michael,0.99692124,0.99667597,0.9946975,0.996304,0.9970778,0.9922546,0.99481654,0.97186714,0.9950992,0.99680525
William,0.99719393,0.99599564,0.9956294,0.9966063,0.9969087,0.99340117,0.9957519,0.9728385,0.99535507,0.996707
David,0.97435504,0.9758691,0.9728241,0.9740354,0.97503394,0.97075623,0.9728106,0.9930381,0.9749006,0.9733666
Joseph,0.9693938,0.9697031,0.9678681,0.96860003,0.9696118,0.9656697,0.9673306,0.99390036,0.9685139,0.96718943
Richard,0.9971648,0.99548143,0.99571514,0.9963805,0.996919,0.99348086,0.9957549,0.97048247,0.9943267,0.9966619
Charles,0.9613819,0.96003115,0.96407056,0.9602898,0.96135104,0.9639415,0.96436083,0.9903057,0.9589394,0.9594145
Thomas,0.99809176,0.99563813,0.9975556,0.9968345,0.9972305,0.99565196,0.9973941,0.9700151,0.9941845,0.99666965
Christopher,0.9973629,0.99512035,0.99911606,0.99644923,0.9966543,0.9983037,0.9992314,0.96964645,0.9937772,0.99598676
Daniel,0.996859,0.99610823,0.9944705,0.9964425,0.9968616,0.99205816,0.99483675,0.9706159,0.99420094,0.9963043
Matthew,0.99714875,0.9958988,0.99504864,0.9966971,0.9966783,0.992709,0.9949826,0.96992683,0.99431473,0.99652374
George,0.99600637,0.9933524,0.99919116,0.9951376,0.9955549,0.99896526,0.99924606,0.9679818,0.99203813,0.9946034
Anthony,0.9978094,0.9962382,0.996402,0.99733835,0.99702686,0.994249,0.9963775,0.97014254,0.9946221,0.9966296
Donald,0.9959468,0.9936299,0.999197,0.9950192,0.99536407,0.999395,0.9993239,0.9685593,0.99206847,0.9943544
Paul,0.9968199,0.9959794,0.9951861,0.99702305,0.9966585,0.99301255,0.99537945,0.97183657,0.9950863,0.99661446
Mark,0.9977558,0.9961421,0.9960644,0.9968871,0.9974176,0.99386966,0.9962809,0.9700301,0.9949145,0.99774283
Andrew,0.9967115,0.9957926,0.9961483,0.9967153,0.99642897,0.99419266,0.9961289,0.9701878,0.9939808,0.99639136
Edward,0.99792004,0.99613637,0.996707,0.9975229,0.9975179,0.9945394,0.996712,0.97083807,0.9947591,0.9970648
