,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.964522,0.9683462,0.992667,0.9676526,0.9662784,0.9677614,0.96826357,0.9674177,0.96885324,0.96174216
John,0.96468234,0.97037786,0.9906579,0.9688786,0.96648055,0.96831733,0.96946144,0.9692408,0.96958774,0.9641727
Robert,0.9986499,0.9942713,0.9624001,0.9961341,0.99884844,0.9986048,0.9955757,0.9955815,0.9952684,0.98848504
Michael,0.9937606,0.99666405,0.9659863,0.9962668,0.994724,0.9959081,0.99702704,0.99718684,0.99686474,0.99200344
William,0.994602,0.9959737,0.9665617,0.9963356,0.9955592,0.99647593,0.9971148,0.99694717,0.99598724,0.99154145
David,0.9705133,0.9757854,0.9895233,0.97334176,0.97219014,0.97406924,0.9753777,0.97458637,0.975592,0.96913534
Joseph,0.9652297,0.969787,0.9899637,0.968069,0.96676296,0.96844554,0.96960163,0.9684214,0.96900177,0.96327144
Richard,0.9947571,0.99590033,0.96436894,0.9964082,0.9956613,0.99630815,0.99681145,0.9970095,0.9962277,0.99060607
Charles,0.9631544,0.9604349,0.98972666,0.9605396,0.9635315,0.9640865,0.960856,0.96034557,0.9609333,0.9531924
Thomas,0.99651945,0.9958167,0.96328014,0.9973303,0.99728715,0.9976998,0.9969417,0.99713653,0.99650544,0.990325
Christopher,0.9983599,0.99486303,0.9636495,0.9963608,0.99900895,0.99908215,0.9962215,0.99630636,0.9958489,0.9892795
Daniel,0.9939543,0.9961512,0.9645341,0.9962442,0.99473387,0.9957375,0.99682283,0.9968733,0.9969335,0.9919507
Matthew,0.9942155,0.99583966,0.96372724,0.9961048,0.99509716,0.9959385,0.9968535,0.99689656,0.9963737,0.9915262
George,0.99904263,0.99353194,0.9618515,0.9950921,0.99896157,0.9986301,0.9947593,0.9948627,0.9946929,0.9874597
Anthony,0.995484,0.99589986,0.9639519,0.9967893,0.9963176,0.99711365,0.9969738,0.99682885,0.9965269,0.99126273
Donald,0.99867606,0.99331737,0.96263564,0.9949766,0.99930644,0.99906266,0.9948377,0.9948139,0.99451923,0.987198
Paul,0.9939983,0.9958504,0.9663521,0.99608314,0.99499786,0.99584246,0.9967002,0.99681425,0.99637705,0.9912161
Mark,0.9954678,0.9967033,0.9637708,0.9975814,0.9961965,0.9969258,0.99731576,0.99734384,0.99714744,0.9910831
Andrew,0.9952111,0.99545026,0.96457875,0.99616206,0.99624294,0.99673826,0.997018,0.99698466,0.99629366,0.9899318
Edward,0.9956675,0.996315,0.9641154,0.99681973,0.99657166,0.9972165,0.9974244,0.9972099,0.996736,0.99093467
