"","term","contrast","estimate","null.value","conf.low","conf.high","adj.p.value","TestName","Model"
"1","Gender","F-M",0.133980695886496,0,0.0982896464273885,0.169671745345604,0,"NC","xlm_r"
"2","Gender","F-M",0.152035867253819,0,0.113555939266546,0.190515795241093,0,"SC","xlm_r"
"3","Gender","F-M",0.124621847934639,0,0.0789039879084361,0.170339707960842,1.4202184128731e-07,"PG","xlm_r"
"4","Gender","F-M",0.121344826695595,0,0.0705645181290242,0.172125135262165,3.62695355915488e-06,"UG","xlm_r"
"5","Race","Chinese-White",0.0918546390998148,0,0.0374387919397278,0.146270486259902,9.2251971897328e-05,"PR","xlm_r"
"6","Race","Latinx-White",0.128522417437194,0,0.0741065702771069,0.182938264597281,3.74289232940583e-09,"PR","xlm_r"
"7","Race","Black-White",0.119106348037948,0,0.0646905008778607,0.173522195198035,1.38036098551453e-07,"PR","xlm_r"
"8","Race","Latinx-Chinese",0.0366677783373791,0,-0.0177480688227079,0.0910836254974662,0.306281671531477,"PR","xlm_r"
"9","Race","Black-Chinese",0.0272517089381329,0,-0.0271641382219542,0.0816675560982199,0.57001315164198,"PR","xlm_r"
"10","Race","Black-Latinx",-0.00941606939924622,0,-0.0638319165593333,0.0449997777608408,0.970485872204865,"PR","xlm_r"
"11","Race","Chinese-White",0.0888971333316104,0,0.0266044579255458,0.151189808737675,0.00145150392102078,"UR","xlm_r"
"12","Race","Latinx-White",0.125184331792274,0,0.0628916563862098,0.187477007198339,1.7282507231986e-06,"UR","xlm_r"
"13","Race","Black-White",0.119122388165709,0,0.0568297127596445,0.181415063571774,6.15848153895371e-06,"UR","xlm_r"
"14","Race","Latinx-Chinese",0.036287198460664,0,-0.0260054769454006,0.0985798738667286,0.438130048503382,"UR","xlm_r"
"15","Race","Black-Chinese",0.0302252548340987,0,-0.0320674205719659,0.0925179302401633,0.595678821109965,"UR","xlm_r"
"16","Race","Black-Latinx",-0.00606194362656531,0,-0.0683546190326299,0.0562307317794993,0.994478385112714,"UR","xlm_r"
