,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.87185043,0.82485497,0.90017194,0.8357107,0.8724176,0.7806715,0.8754505,0.7916554,0.8555447,0.8788905
Elizabeth,0.8624633,0.816102,0.8920069,0.82762784,0.87111485,0.7602781,0.86501,0.7810184,0.84712684,0.8722106
Patricia,0.86877835,0.828936,0.9115746,0.8396854,0.88385344,0.76638114,0.8752664,0.7965678,0.8525961,0.8804111
Jennifer,0.87422276,0.82970595,0.9126953,0.8404868,0.88244814,0.7732067,0.87727976,0.79801196,0.85779715,0.8875883
Linda,0.86827654,0.8186265,0.9081399,0.8282089,0.8756937,0.7638861,0.8800254,0.7933985,0.8512809,0.885824
Barbara,0.86718047,0.8201339,0.9071253,0.83724743,0.8760272,0.7670469,0.8731048,0.78988487,0.84919125,0.8844161
Margaret,0.8653485,0.81661046,0.90722215,0.8350249,0.871734,0.7641458,0.87117094,0.78961945,0.84649163,0.8814492
Susan,0.87392235,0.8239058,0.9059969,0.8287909,0.8747848,0.7688389,0.87537163,0.79539055,0.8544934,0.88487697
Dorothy,0.869474,0.8178011,0.90710485,0.82518446,0.88251567,0.7560601,0.8767647,0.78969413,0.84361684,0.8812069
Sarah,0.8757428,0.8291445,0.91028696,0.83359754,0.8816059,0.77146506,0.87896013,0.8048139,0.85463095,0.88704824
Jessica,0.8674751,0.81515276,0.9024931,0.8392149,0.8683164,0.7625493,0.8671292,0.7939303,0.8530231,0.88148344
Helen,0.8713485,0.8317296,0.908407,0.83693534,0.87849474,0.7828616,0.876319,0.8022518,0.85814935,0.8852305
Nancy,0.86385596,0.81696117,0.9062826,0.82947326,0.87399435,0.7701311,0.8714227,0.79036105,0.84150493,0.8844605
Betty,0.86859,0.82181275,0.9071722,0.83336914,0.8758163,0.7676489,0.8757937,0.7915755,0.84887886,0.88726676
Karen,0.880345,0.82746285,0.91692966,0.8388058,0.880407,0.76549035,0.8854038,0.8074457,0.8576592,0.8959979
Lisa,0.8679396,0.82092,0.9063555,0.8324343,0.8729886,0.7656143,0.87026787,0.7977636,0.8436862,0.8857351
Anna,0.87105453,0.8245169,0.90762234,0.8343388,0.87620455,0.77058995,0.8795353,0.79659784,0.856209,0.8866354
Sandra,0.8773811,0.8313085,0.9176475,0.8375049,0.88636106,0.7621179,0.8835094,0.8014355,0.8578447,0.8942028
Emily,0.8588582,0.819658,0.8978139,0.83933735,0.87218845,0.76162046,0.86259836,0.78495246,0.8435713,0.871941
Ashley,0.8721845,0.82955664,0.91498137,0.8395533,0.8848486,0.76484287,0.8807054,0.80570006,0.85087204,0.8920775
