,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.89072335,0.8783369,0.8370617,0.8081781,0.8780418,0.87035227,0.8848655,0.8583747,0.8821469,0.87996244
Elizabeth,0.8851948,0.8695985,0.8278438,0.7940565,0.8718855,0.85994804,0.87271726,0.84447634,0.87377036,0.86573684
Patricia,0.9054831,0.888689,0.84075075,0.7999971,0.87680423,0.8720647,0.8851877,0.85381377,0.8851186,0.87556326
Jennifer,0.9034052,0.89193743,0.84014785,0.8059516,0.87984765,0.87541497,0.89178216,0.8563943,0.8899121,0.8812766
Linda,0.9014319,0.893919,0.8302872,0.79930764,0.87238437,0.87125695,0.888654,0.85549784,0.8858474,0.8775635
Barbara,0.89940727,0.89005196,0.83387023,0.79690826,0.8766068,0.87346506,0.885432,0.85364324,0.8880156,0.8759086
Margaret,0.89556587,0.8849119,0.829276,0.79668856,0.8750423,0.8684412,0.8839692,0.84820455,0.8799046,0.8752843
Susan,0.8992112,0.8903965,0.8394368,0.81189495,0.8817693,0.8765643,0.88103247,0.8594329,0.8810132,0.88069767
Dorothy,0.8954973,0.8876374,0.82898664,0.79833007,0.87075794,0.868374,0.88272464,0.85378504,0.8863752,0.86946213
Sarah,0.89907753,0.891183,0.83951485,0.807678,0.8806714,0.87071615,0.8835087,0.8573115,0.89043516,0.879117
Jessica,0.89471793,0.8889991,0.8312236,0.79885274,0.8741448,0.8739774,0.88844013,0.84180224,0.8785613,0.87579554
Helen,0.9012359,0.89029074,0.83927584,0.8084426,0.8812521,0.8768911,0.88633907,0.8518939,0.8886736,0.88264877
Nancy,0.89662087,0.8927916,0.83312976,0.8046781,0.8694445,0.8644053,0.8801657,0.85459024,0.8844532,0.8703997
Betty,0.9001865,0.88830996,0.8328347,0.81429285,0.87192404,0.87152576,0.88343513,0.8557626,0.8847797,0.8769842
Karen,0.9089277,0.9021274,0.84173656,0.8029768,0.8877321,0.88232696,0.8924471,0.8603684,0.9001982,0.88753414
Lisa,0.90507424,0.8969761,0.8354075,0.80473745,0.8770094,0.8705766,0.88124704,0.8476397,0.8798826,0.87326455
Anna,0.89829314,0.884639,0.83296263,0.8065585,0.87794995,0.8727964,0.88615793,0.86005396,0.88569444,0.8798134
Sandra,0.90683436,0.89618385,0.8380313,0.8025249,0.883961,0.88056886,0.8994108,0.8590137,0.8942514,0.88492924
Emily,0.8894808,0.8805655,0.8345887,0.7956096,0.8655118,0.8602532,0.87514013,0.8445908,0.8705958,0.8650422
Ashley,0.90387887,0.90150267,0.83840525,0.79908884,0.8780262,0.8744495,0.89256793,0.8576666,0.89114547,0.8828675
