,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.8901254,0.884961,0.8361076,0.793531,0.868707,0.86142397,0.88038397,0.8471904,0.88367206,0.8729528
Vincent,0.9009628,0.89713216,0.838259,0.79986644,0.8765238,0.87280643,0.88777554,0.8610413,0.89300144,0.8784616
Victor,0.8998014,0.8901179,0.8368077,0.80380344,0.8643631,0.868919,0.8848273,0.853724,0.88455606,0.873381
Adrian,0.9013963,0.8963555,0.83203477,0.7958898,0.86825377,0.8685661,0.8820821,0.8506476,0.87940824,0.8736157
Marcus,0.89573145,0.8899319,0.8370552,0.79545426,0.86132646,0.86557156,0.8847133,0.8471129,0.8827786,0.87897253
Leo,0.9022261,0.8963095,0.8338826,0.80343103,0.8736557,0.8766523,0.89108795,0.8535881,0.8899794,0.88139904
Miles,0.8841563,0.889656,0.8267503,0.79508877,0.85841393,0.8588911,0.86731046,0.8517666,0.87178314,0.86261463
Roman,0.88214177,0.88137835,0.83318096,0.79655755,0.8509608,0.85271555,0.873128,0.8456346,0.87221754,0.8633575
Sergio,0.90121216,0.9003325,0.8317603,0.80001193,0.87280107,0.8735,0.88818204,0.8529296,0.8853345,0.8732523
Felix,0.9021761,0.897858,0.8344438,0.7967631,0.87226915,0.872196,0.88381153,0.85291964,0.8853594,0.8769835
Patricia,0.9054831,0.888689,0.84075075,0.7999971,0.87680423,0.8720647,0.8851877,0.85381377,0.8851186,0.87556326
Laura,0.8978293,0.8854722,0.8322845,0.8024255,0.875703,0.8710403,0.88606536,0.8567393,0.8827879,0.873427
Amanda,0.90300095,0.8902482,0.84523344,0.8034657,0.87838507,0.8741793,0.89353704,0.8524096,0.8877391,0.88140666
Victoria,0.87420344,0.8634411,0.81746256,0.7792381,0.8395472,0.8451641,0.86472064,0.8336861,0.857702,0.8510359
Julia,0.885,0.87026477,0.82818085,0.78810436,0.85933596,0.8500917,0.86552715,0.84135735,0.86268836,0.8609095
Gloria,0.89852643,0.88822156,0.8335862,0.79679924,0.8776401,0.87067485,0.8888602,0.8598826,0.88499486,0.87603915
Diana,0.88883144,0.8812166,0.83016986,0.7998772,0.8724807,0.8617791,0.87505275,0.85294515,0.881922,0.87234646
Clara,0.882644,0.87932706,0.82113385,0.7884104,0.86632884,0.85750914,0.87922585,0.8520001,0.8747835,0.8666687
Paula,0.89912283,0.89630455,0.8314781,0.7947641,0.8768517,0.8701483,0.88604337,0.8507766,0.8810459,0.8744411
Norma,0.90500486,0.90169424,0.8331163,0.79532063,0.88129234,0.87937355,0.89173716,0.86376953,0.8926228,0.8831084
