,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.94388807,0.8751057,0.86402047,0.96635026,0.8633683,0.88054353,0.9509748,0.9107973,0.9191945,0.9563716
John,0.94900775,0.87506104,0.8731907,0.96549845,0.8582336,0.87401795,0.951548,0.9100375,0.9106318,0.9591348
Robert,0.9489385,0.88359284,0.8629241,0.96218586,0.86152875,0.8765136,0.9491254,0.916891,0.9172526,0.95828944
Michael,0.9523846,0.8888426,0.87479746,0.9657781,0.85708964,0.8821099,0.9598329,0.92191124,0.9231729,0.96095055
William,0.94915164,0.87419623,0.8646804,0.96515685,0.86014163,0.8742097,0.9507311,0.9099858,0.91813403,0.95787084
David,0.8062153,0.7355231,0.72850156,0.8108096,0.7516291,0.7682458,0.79829824,0.7658274,0.77345306,0.7992383
Joseph,0.94673866,0.87790376,0.8687816,0.9648667,0.85103875,0.8761408,0.948612,0.9121885,0.91434276,0.954079
Richard,0.94890773,0.88408995,0.8532011,0.96336883,0.85233194,0.86978716,0.95040405,0.9142418,0.91732454,0.95800126
Charles,0.94464433,0.8633543,0.8519929,0.9578325,0.8552545,0.8677726,0.9399258,0.90059793,0.9122107,0.95064473
Thomas,0.81349343,0.74602664,0.73858404,0.81862247,0.76272583,0.77903503,0.80579543,0.77565217,0.7818397,0.8071909
Christopher,0.9572655,0.88263965,0.8723353,0.97534394,0.85604644,0.8713248,0.9569447,0.92183244,0.9233471,0.9615319
Daniel,0.9440491,0.8758843,0.8615912,0.96276677,0.8496442,0.8725214,0.9496559,0.9090004,0.9100886,0.95415294
Matthew,0.95026267,0.8810711,0.8676344,0.9690558,0.85008866,0.86856174,0.9504743,0.91580206,0.91843796,0.9591727
George,0.94694555,0.87593454,0.86515373,0.96185577,0.85567474,0.8757833,0.95041305,0.91207397,0.9165113,0.9529404
Anthony,0.95293266,0.8789773,0.8677289,0.970111,0.85314345,0.8727211,0.9541515,0.914654,0.9159709,0.96180123
Donald,0.94664514,0.8800619,0.86222434,0.96606576,0.85239094,0.86869985,0.9446155,0.9122639,0.9129099,0.9586351
Paul,0.94975716,0.8798233,0.8709771,0.9652711,0.85915685,0.8795278,0.95113474,0.9131372,0.91440976,0.9564601
Mark,0.9556949,0.88795024,0.870574,0.96534365,0.85520816,0.8765061,0.9556558,0.9205478,0.9224178,0.9593663
Andrew,0.94979876,0.8808938,0.8732647,0.97017395,0.8555543,0.8722818,0.95421505,0.9183121,0.92019224,0.96096885
Edward,0.94881636,0.87126344,0.8638965,0.9684941,0.85230196,0.8727825,0.9514141,0.91182965,0.91590035,0.95843464
