,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.85807186,0.8213761,0.89806235,0.83572745,0.87264264,0.77368003,0.8643446,0.7976502,0.840717,0.8807596
John,0.8635542,0.8245833,0.8976092,0.8418936,0.8670938,0.76442695,0.86581403,0.7929637,0.84217983,0.8762057
Robert,0.86283135,0.82353747,0.89908457,0.8298746,0.8721949,0.768745,0.8659906,0.8037534,0.8448262,0.87901807
Michael,0.8719362,0.8272613,0.9072603,0.83390844,0.8826608,0.7693288,0.8810953,0.80429316,0.8453486,0.8923507
William,0.848526,0.8155668,0.8968009,0.8386514,0.8643421,0.7627902,0.8579632,0.7931037,0.82793957,0.8745023
David,0.70804703,0.69331,0.7322364,0.6971135,0.701117,0.6455431,0.71239626,0.6795064,0.7088541,0.73505914
Joseph,0.8645572,0.81632143,0.8979498,0.83730257,0.87053037,0.7668535,0.86791867,0.7900959,0.8430038,0.8771348
Richard,0.8601152,0.81507444,0.8937304,0.83176833,0.8692775,0.77381754,0.86578286,0.79353935,0.8349398,0.8779549
Charles,0.844787,0.8145839,0.88256025,0.8333999,0.86089706,0.7620631,0.8522279,0.7881952,0.82503295,0.86576694
Thomas,0.71625847,0.7028558,0.7398707,0.70676255,0.70917773,0.6584163,0.72027385,0.69199646,0.71568036,0.7427548
Christopher,0.8773489,0.8304257,0.91558546,0.8407184,0.88637483,0.7676494,0.8816742,0.80050033,0.85399646,0.8914116
Daniel,0.8657487,0.81515706,0.90041816,0.83637726,0.870459,0.76238203,0.87500405,0.7906831,0.8459381,0.88770807
Matthew,0.8744377,0.83185637,0.9121775,0.8431747,0.8790369,0.7740145,0.87929475,0.7943718,0.8567811,0.88806397
George,0.85740364,0.81951153,0.90026784,0.82993007,0.87393093,0.7662338,0.8662935,0.7955594,0.8303803,0.8761171
Anthony,0.8613394,0.8201544,0.9028641,0.8360949,0.8744453,0.76151836,0.8682487,0.7922908,0.8377791,0.88178074
Donald,0.8609598,0.8173598,0.90978336,0.8328177,0.87328374,0.7655705,0.8660511,0.8029354,0.8329237,0.88923377
Paul,0.86017776,0.8238596,0.89577645,0.8370378,0.8683871,0.76324224,0.86653423,0.7922249,0.8413037,0.88211864
Mark,0.87660336,0.8322842,0.9083286,0.834096,0.87863755,0.770026,0.8822019,0.802612,0.85677636,0.8950939
Andrew,0.86489695,0.8219464,0.9085306,0.8398484,0.8786924,0.76512784,0.8759009,0.79137075,0.84751594,0.88639367
Edward,0.8596399,0.8149758,0.9014146,0.8435326,0.8729067,0.761474,0.8671801,0.79126954,0.838456,0.87839377
