,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.8913814,0.8841933,0.83608234,0.8069258,0.8654313,0.86215603,0.8783711,0.8503697,0.87858784,0.867
John,0.89082134,0.8872231,0.8397199,0.79895437,0.86738384,0.8650193,0.88388705,0.84825397,0.8802123,0.87967587
Robert,0.8970888,0.8861506,0.840148,0.80689615,0.8700181,0.8717571,0.8828615,0.84631914,0.88209915,0.87336123
Michael,0.89856124,0.89402556,0.8372075,0.8027617,0.87667495,0.8727676,0.8906584,0.8567039,0.8948411,0.87971276
William,0.885792,0.880327,0.83277893,0.79625344,0.8557216,0.8532498,0.87673384,0.8448327,0.87574005,0.8659452
David,0.71998614,0.7142582,0.69920605,0.6869649,0.7163824,0.70398164,0.7248681,0.70879555,0.72385764,0.7101283
Joseph,0.88745654,0.8832569,0.82750005,0.79407275,0.8704387,0.85921323,0.8776942,0.8501048,0.87677944,0.8711115
Richard,0.8869171,0.8828427,0.8263304,0.7953534,0.86424613,0.85374093,0.8776884,0.84207344,0.8796685,0.86693823
Charles,0.8791603,0.87620944,0.83554536,0.79481715,0.85055417,0.84802824,0.86527324,0.83717436,0.868948,0.86056143
Thomas,0.72740793,0.7208017,0.7089405,0.6952322,0.7247778,0.7105368,0.7317596,0.715432,0.7305594,0.71754
Christopher,0.905788,0.8955899,0.8423324,0.8009866,0.88216615,0.8802791,0.89203,0.8610159,0.89685404,0.8843798
Daniel,0.8921775,0.8852632,0.8259252,0.8015647,0.8757571,0.86664987,0.8832016,0.85734653,0.8823001,0.87413156
Matthew,0.9044315,0.8964055,0.8382124,0.80579853,0.8785572,0.87690204,0.88822854,0.861048,0.8882276,0.88437855
George,0.8909545,0.8836773,0.83083797,0.79972667,0.8585537,0.8539005,0.87818736,0.8437086,0.8779219,0.8643726
Anthony,0.895066,0.88875246,0.8325436,0.7938541,0.8660271,0.8625326,0.88590074,0.84847605,0.882301,0.8749944
Donald,0.9023851,0.89746916,0.8319262,0.80160046,0.8652551,0.86471653,0.8809156,0.8477746,0.8771923,0.8757158
Paul,0.8901254,0.884961,0.8361076,0.793531,0.868707,0.86142397,0.88038397,0.8471904,0.88367206,0.8729528
Mark,0.90474033,0.89860815,0.8444284,0.80998206,0.8835675,0.88410443,0.88598514,0.8619024,0.8951696,0.8878355
Andrew,0.8960608,0.8920978,0.8312794,0.7946386,0.87057287,0.8691078,0.88725317,0.84868276,0.883944,0.87718296
Edward,0.89096856,0.8851433,0.82728994,0.7923534,0.86439085,0.86231387,0.8840339,0.83920586,0.87953144,0.8696181
