"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reginald","Black","happy",0.8903593,"Good"
"Reginald","Black","agreeable",0.8407347,"Good"
"Reginald","Black","polite",0.953529,"Good"
"Reginald","Black","civil",0.86877656,"Good"
"Reginald","Black","charming",0.9154496,"Good"
"Reginald","Black","gracious",0.7725941,"Good"
"Reginald","Black","gentle",0.8969145,"Good"
"Reginald","Black","approachable",0.8129729,"Good"
"Reginald","Black","love",0.85841954,"Good"
"Reginald","Black","cool",0.9169125,"Good"
"Kameron","Black","happy",0.82341963,"Good"
"Kameron","Black","agreeable",0.8192872,"Good"
"Kameron","Black","polite",0.8545537,"Good"
"Kameron","Black","civil",0.7818723,"Good"
"Kameron","Black","charming",0.8261839,"Good"
"Kameron","Black","gracious",0.763924,"Good"
"Kameron","Black","gentle",0.828136,"Good"
"Kameron","Black","approachable",0.80065125,"Good"
"Kameron","Black","love",0.8077605,"Good"
"Kameron","Black","cool",0.8432103,"Good"
"Kendrick","Black","happy",0.8799019,"Good"
"Kendrick","Black","agreeable",0.8632145,"Good"
"Kendrick","Black","polite",0.92233086,"Good"
"Kendrick","Black","civil",0.8299531,"Good"
"Kendrick","Black","charming",0.90258026,"Good"
"Kendrick","Black","gracious",0.7929203,"Good"
"Kendrick","Black","gentle",0.88930833,"Good"
"Kendrick","Black","approachable",0.8401847,"Good"
"Kendrick","Black","love",0.855588,"Good"
"Kendrick","Black","cool",0.9078341,"Good"
"Javon","Black","happy",0.8676162,"Good"
"Javon","Black","agreeable",0.85278493,"Good"
"Javon","Black","polite",0.8700088,"Good"
"Javon","Black","civil",0.7996909,"Good"
"Javon","Black","charming",0.8553171,"Good"
"Javon","Black","gracious",0.7876187,"Good"
"Javon","Black","gentle",0.8493285,"Good"
"Javon","Black","approachable",0.81783426,"Good"
"Javon","Black","love",0.83861303,"Good"
"Javon","Black","cool",0.8761505,"Good"
"Tyrell","Black","happy",0.8758002,"Good"
"Tyrell","Black","agreeable",0.8359377,"Good"
"Tyrell","Black","polite",0.88487434,"Good"
"Tyrell","Black","civil",0.82157904,"Good"
"Tyrell","Black","charming",0.87780523,"Good"
"Tyrell","Black","gracious",0.7957825,"Good"
"Tyrell","Black","gentle",0.88462293,"Good"
"Tyrell","Black","approachable",0.7916403,"Good"
"Tyrell","Black","love",0.8533298,"Good"
"Tyrell","Black","cool",0.89067423,"Good"
"Jamar","Black","happy",0.8207906,"Good"
"Jamar","Black","agreeable",0.80756354,"Good"
"Jamar","Black","polite",0.84856284,"Good"
"Jamar","Black","civil",0.7689532,"Good"
"Jamar","Black","charming",0.82267845,"Good"
"Jamar","Black","gracious",0.7491169,"Good"
"Jamar","Black","gentle",0.8222757,"Good"
"Jamar","Black","approachable",0.7838546,"Good"
"Jamar","Black","love",0.81180996,"Good"
"Jamar","Black","cool",0.8423112,"Good"
"Camron","Black","happy",0.8539601,"Good"
"Camron","Black","agreeable",0.8301501,"Good"
