,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.4241683,0.41878048,0.5390244,0.4629957,0.5038014,0.36752602,0.45299315,0.38789696,0.44489354,0.5477711
Shan,0.47722453,0.47913557,0.61927354,0.50229603,0.57622766,0.4059868,0.5316626,0.46428922,0.49746925,0.61153674
Lew,0.51880646,0.47578827,0.6200466,0.5699347,0.5262927,0.44381198,0.49688494,0.4489852,0.48395613,0.60220176
Long,0.67525184,0.6009334,0.5970384,0.52211386,0.55597544,0.5647727,0.62049997,0.57190657,0.6533047,0.67307794
Quan,0.5544391,0.4930972,0.631707,0.5586117,0.5991756,0.44485137,0.57944435,0.4939506,0.5702818,0.66238034
Jun,0.623993,0.4522257,0.59762347,0.5446187,0.569791,0.4541195,0.5281762,0.44768757,0.60310906,0.7186035
Tou,0.52279866,0.46116376,0.5849642,0.4398324,0.5044508,0.429252,0.5462705,0.44489458,0.5202843,0.5441568
Jin,0.52043897,0.44816625,0.56699395,0.4934291,0.54705775,0.38732874,0.5004388,0.44708487,0.51819897,0.64084494
Cai,0.5463428,0.4751612,0.64017403,0.5884599,0.5892692,0.4580469,0.52995104,0.4310401,0.5463108,0.7002119
Chan,0.549638,0.4344573,0.57056296,0.52654004,0.56924,0.41466877,0.5211998,0.44064075,0.53876215,0.61684334
Lue,0.4460519,0.42924565,0.617879,0.48620915,0.47309268,0.41703153,0.5836023,0.41692066,0.51515853,0.5395882
China,0.50619054,0.46021825,0.50760275,0.5140712,0.54353434,0.44194555,0.47477812,0.46117276,0.52889174,0.59782696
Lu,0.47896653,0.43740937,0.64967793,0.5365158,0.5110538,0.42185277,0.5872394,0.41725045,0.5419301,0.59030753
Maylee,0.6107448,0.49771586,0.5551621,0.46895868,0.56285644,0.4711725,0.57332134,0.52509296,0.61910975,0.60498977
Tennie,0.53753614,0.51352537,0.64681554,0.5149788,0.56396323,0.5122181,0.62416625,0.49760437,0.5032426,0.59265864
Maylin,0.5233345,0.46795014,0.5614413,0.4949515,0.6035842,0.39662057,0.54782563,0.44463047,0.5276984,0.5569905
Chynna,0.4476269,0.43840787,0.5920109,0.5198848,0.5356518,0.40676826,0.5364047,0.43256104,0.48807526,0.513624
Jia,0.43956897,0.42847067,0.544377,0.44996998,0.52783144,0.37632048,0.46822387,0.42073733,0.46577197,0.5419229
Mei,0.60356474,0.4302735,0.6086799,0.53272593,0.5555928,0.41906393,0.5384003,0.41768187,0.57474315,0.6664183
Tylee,0.5313569,0.48323733,0.6409205,0.49773,0.58703476,0.44476232,0.58987427,0.48348105,0.5249146,0.61352766
