,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.5434164,0.5097762,0.5815799,0.55113983,0.56980866,0.4821502,0.59308445,0.5126734,0.5249479,0.6474512
John,0.5218278,0.5068849,0.6036897,0.5603501,0.5456914,0.5113867,0.6256,0.5020703,0.5319569,0.61664796
Robert,0.54806423,0.56308734,0.6198168,0.5615288,0.5537528,0.48515368,0.5974319,0.5297191,0.5194236,0.6427313
Michael,0.5194686,0.46524426,0.6065601,0.53921247,0.5503763,0.47452176,0.5652319,0.4857374,0.53035307,0.6389664
William,0.5255999,0.5427656,0.589079,0.5384917,0.5932313,0.46083647,0.60280126,0.51345694,0.5473,0.6039998
David,0.5197353,0.5010742,0.6263628,0.5471685,0.5747713,0.4728832,0.6021955,0.48465425,0.5110423,0.6485654
Joseph,0.5182946,0.5062028,0.5882941,0.55105007,0.569889,0.49491397,0.5424344,0.486225,0.5260294,0.63580287
Richard,0.5457018,0.5002542,0.6043103,0.5472909,0.59473526,0.48498583,0.5691229,0.50763595,0.5534779,0.6227608
Charles,0.5000042,0.49245927,0.57559526,0.5430238,0.5367019,0.48520535,0.6376565,0.48757493,0.52121466,0.59047073
Thomas,0.50633633,0.51982903,0.62493867,0.56834143,0.5886352,0.49008146,0.6318661,0.52579266,0.5367818,0.60758483
Mary,0.59215844,0.51985806,0.5794836,0.51439834,0.5563021,0.5444561,0.61602384,0.51586837,0.5974325,0.63235164
Elizabeth,0.5007043,0.47087455,0.51217824,0.480943,0.48636734,0.4915945,0.54880804,0.4399562,0.5084502,0.5244927
Patricia,0.53739727,0.49540743,0.63121283,0.54916906,0.5530753,0.46813256,0.58672976,0.5198954,0.5567552,0.60497516
Jennifer,0.6061655,0.4347879,0.60412586,0.5383119,0.5242228,0.51897025,0.5589,0.42270094,0.6291996,0.6592586
Linda,0.6126963,0.4348038,0.60140646,0.5401428,0.52955663,0.48863465,0.5386419,0.4418047,0.60640883,0.644768
Barbara,0.56305003,0.48229665,0.6014689,0.55095446,0.54894555,0.47827017,0.5535289,0.48444542,0.52457523,0.65037024
Margaret,0.5547969,0.5210269,0.55976593,0.5157084,0.53459454,0.49376416,0.6105541,0.5162164,0.52283645,0.56628627
Susan,0.6030588,0.5359697,0.60075325,0.5417237,0.51394904,0.5216487,0.60551107,0.5197296,0.5597245,0.62535745
Sarah,0.5741125,0.5050969,0.58925307,0.52231216,0.54362893,0.5186892,0.57898057,0.48239857,0.5731932,0.6320802
Jessica,0.59234613,0.45054743,0.5813453,0.52110803,0.49233064,0.49158937,0.5140338,0.44632733,0.54706395,0.65353733
