,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.54180634,0.5330285,0.5051122,0.62433016,0.5808487,0.46436766,0.61668205,0.606143,0.5071865,0.58026946
John,0.5940559,0.5544346,0.438125,0.62938607,0.60199434,0.5216193,0.6185894,0.5775952,0.53274345,0.5830462
Robert,0.5584842,0.5620663,0.48434916,0.62114966,0.5857289,0.48019096,0.64875805,0.61618483,0.5482707,0.5855447
Michael,0.5434604,0.5596661,0.44447547,0.6185558,0.5698445,0.49323305,0.6047497,0.5715279,0.5192945,0.5779227
William,0.55341566,0.5416694,0.5167618,0.5941658,0.5794062,0.49236685,0.5900067,0.5908855,0.5445318,0.62588656
David,0.5404993,0.5386526,0.44532496,0.5930505,0.57046854,0.51375985,0.5905149,0.582163,0.56468356,0.580446
Joseph,0.5243825,0.53055316,0.47245073,0.60434806,0.5715102,0.4724,0.63965636,0.596094,0.51644254,0.5386292
Richard,0.556361,0.56070405,0.48740613,0.58383876,0.5951522,0.5028898,0.61987364,0.6286812,0.5466763,0.6101358
Charles,0.5083345,0.5379002,0.4831365,0.57650703,0.5353273,0.47389984,0.62731993,0.57957566,0.4947494,0.5319527
Thomas,0.57601416,0.5544406,0.48723784,0.6405003,0.593088,0.5258189,0.6277101,0.60494804,0.5708374,0.6208571
Mary,0.5069243,0.53923595,0.51369137,0.56361264,0.5457235,0.49514365,0.5781063,0.63655114,0.51473206,0.58055556
Elizabeth,0.4686736,0.48311648,0.4454735,0.45705116,0.4940507,0.47220775,0.50255084,0.51726234,0.43800658,0.5403667
Patricia,0.54450226,0.5706098,0.49734432,0.5739499,0.56465805,0.46980745,0.5872842,0.58199,0.52660704,0.56949425
Jennifer,0.5315107,0.5495298,0.3943996,0.5960648,0.572354,0.54597473,0.57070017,0.58493984,0.5309647,0.56417817
Linda,0.5297056,0.5701337,0.39081466,0.59704894,0.5659031,0.52753997,0.5532079,0.5925777,0.5490629,0.5222033
Barbara,0.50555354,0.5733013,0.47379822,0.5724609,0.56548965,0.48747718,0.55984354,0.6197591,0.53605175,0.5680913
Margaret,0.50356936,0.5283668,0.52402264,0.5192256,0.53999794,0.51706266,0.5810481,0.5765353,0.54978937,0.53593564
Susan,0.52869034,0.55542207,0.4713923,0.60203373,0.58353925,0.50309515,0.59637296,0.6221672,0.53255993,0.58618903
Sarah,0.5260385,0.5573226,0.46856007,0.5833955,0.59216404,0.49808818,0.5659589,0.5723506,0.55398905,0.55446535
Jessica,0.50079167,0.53367037,0.40032983,0.56891716,0.5773198,0.424166,0.5608914,0.5450718,0.47372139,0.5298058
