,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.5721658,0.57078284,0.52542084,0.53461087,0.6199925,0.62659186,0.6652342,0.57175446,0.5431597,0.52196646
Elizabeth,0.52809846,0.45923805,0.4516489,0.48566645,0.55791926,0.55191505,0.53954566,0.5167243,0.5307646,0.44219035
Patricia,0.59420735,0.549267,0.48920867,0.55105305,0.62410825,0.6448765,0.64061755,0.5629657,0.51260686,0.5339564
Jennifer,0.5534849,0.5452765,0.46681777,0.52781314,0.5799994,0.5807194,0.57151854,0.54582715,0.5261871,0.5408293
Linda,0.5190146,0.5314026,0.4927491,0.48715776,0.55073714,0.5617984,0.56304884,0.5257475,0.4910309,0.4917457
Barbara,0.545504,0.5855149,0.49390197,0.5799438,0.62320924,0.63069886,0.6361027,0.5846915,0.5615858,0.58368444
Margaret,0.56077814,0.51496017,0.50177044,0.53666866,0.6295191,0.6067679,0.637152,0.5484426,0.56295174,0.5637659
Susan,0.55146396,0.5544688,0.53196967,0.5387521,0.6188108,0.6087424,0.6146031,0.5629508,0.509088,0.56617385
Dorothy,0.54883504,0.5480834,0.50496435,0.5120722,0.56775326,0.59468573,0.6233196,0.5590117,0.5604861,0.58230394
Sarah,0.57916903,0.5562904,0.5545775,0.52207166,0.62751555,0.6103953,0.6392335,0.58653426,0.54661834,0.5364475
Jessica,0.5521643,0.53405637,0.48917687,0.48777407,0.5930704,0.55146116,0.57013196,0.5460879,0.5281258,0.5261752
Helen,0.5910028,0.5239997,0.5302227,0.57649994,0.6602572,0.65195984,0.65984845,0.56547594,0.5563354,0.6244186
Nancy,0.5474236,0.52521807,0.46426767,0.5422405,0.61997604,0.5476228,0.58760506,0.52057153,0.5342316,0.54401827
Betty,0.5811614,0.5386851,0.4754185,0.597018,0.6191808,0.59282255,0.61364913,0.54845715,0.53809786,0.57101035
Karen,0.5360588,0.54026735,0.4698826,0.5071994,0.5900672,0.58916795,0.58099544,0.550197,0.4719283,0.4875238
Lisa,0.49474454,0.49897334,0.44497535,0.45501843,0.5283991,0.5209172,0.5482327,0.5227368,0.53047055,0.47994915
Anna,0.52676857,0.47467113,0.44712627,0.49108833,0.59784645,0.6166283,0.5834756,0.5051353,0.47776818,0.47680563
Sandra,0.5196593,0.53891534,0.47025648,0.5484483,0.60436785,0.6175909,0.60986054,0.5438097,0.47803426,0.5595102
Emily,0.6135145,0.56197965,0.52427506,0.5641552,0.64621913,0.63121676,0.67862856,0.5906743,0.5588769,0.5677663
Ashley,0.5313828,0.5635554,0.4698071,0.5038438,0.55013835,0.56600773,0.6044549,0.55488396,0.51364297,0.52058524
