,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.4485044,0.5825689,0.5482373,0.5187162,0.5199608,0.5380577,0.48128712,0.5676799,0.52759755,0.5198462
Elizabeth,0.41522503,0.46987426,0.46805316,0.446687,0.47394574,0.47796747,0.46559298,0.5092579,0.49631888,0.45559812
Patricia,0.414746,0.5459688,0.52237916,0.52900577,0.52830887,0.54305816,0.4410459,0.5648742,0.540075,0.5122383
Jennifer,0.45125553,0.49476856,0.46472365,0.44363093,0.44502574,0.5093802,0.5081594,0.51771736,0.43566334,0.44215083
Linda,0.41234535,0.46449372,0.4697811,0.4128431,0.45306587,0.50820327,0.44718593,0.52338266,0.46692944,0.4424349
Barbara,0.43317437,0.53636783,0.527314,0.5188446,0.52648777,0.5384861,0.44601518,0.5446233,0.5131101,0.5409013
Margaret,0.43937933,0.5256253,0.52517533,0.51443964,0.50885266,0.5208923,0.4369755,0.55188304,0.52586484,0.505021
Susan,0.41453257,0.5389072,0.5115904,0.5079438,0.4842567,0.52322054,0.45355514,0.5230826,0.51458454,0.45297736
Dorothy,0.44784138,0.5589116,0.51636255,0.47455043,0.47317344,0.51881313,0.48836112,0.5432836,0.5199658,0.47819412
Sarah,0.43596768,0.55724055,0.50817674,0.5170865,0.491856,0.5346044,0.4915097,0.55651915,0.5139274,0.47082385
Jessica,0.4311267,0.51017493,0.4369641,0.43122196,0.44118935,0.5066564,0.4891346,0.499159,0.45171797,0.407901
Helen,0.4197886,0.5511242,0.49899244,0.48468614,0.45444047,0.5197141,0.45235878,0.58067095,0.5180103,0.42105043
Nancy,0.42781413,0.48769692,0.4323882,0.44808662,0.44208008,0.47891366,0.43810642,0.51960623,0.48634583,0.42035663
Betty,0.40675196,0.51897997,0.49637765,0.47765028,0.48277885,0.518656,0.4551127,0.51374495,0.45703116,0.47350198
Karen,0.37974644,0.53187704,0.47957772,0.48405236,0.49160317,0.518148,0.43299714,0.5405971,0.48480338,0.46915188
Lisa,0.4672805,0.4180257,0.42573094,0.41502687,0.45488167,0.4907088,0.49529833,0.467941,0.46278286,0.47689384
Anna,0.38029772,0.47697783,0.43479142,0.47256458,0.49512357,0.4909442,0.4130448,0.51340353,0.5149399,0.49697128
Sandra,0.43592858,0.49210694,0.48208153,0.4690433,0.5073287,0.5216973,0.42604578,0.5033392,0.45738572,0.5088069
Emily,0.45544976,0.5991893,0.5066609,0.5154009,0.504471,0.5459181,0.5223191,0.5726349,0.5432546,0.5008894
Ashley,0.45637062,0.5126867,0.48000818,0.46220762,0.4887616,0.52232814,0.48583376,0.5336855,0.4919856,0.48113602
