,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.55632657,0.5661535,0.42117214,0.63410556,0.58051956,0.4850585,0.6438942,0.58463097,0.50712717,0.55428576
Vincent,0.55731237,0.5357068,0.37991768,0.58235013,0.5447974,0.4629215,0.6189727,0.5613755,0.45426217,0.57032114
Victor,0.53288865,0.5191443,0.409375,0.55442846,0.5749327,0.40545493,0.59045327,0.53200364,0.4580195,0.5272342
Adrian,0.543685,0.55456954,0.47885782,0.5913763,0.5866288,0.45461828,0.62741315,0.590581,0.5167102,0.57622004
Marcus,0.5487825,0.55410033,0.43373287,0.5588011,0.5595144,0.49233463,0.58865,0.57772005,0.54321015,0.54785717
Leo,0.5981693,0.5906658,0.50414085,0.62976176,0.61938584,0.48781177,0.60229665,0.612095,0.5374255,0.57254946
Miles,0.4964882,0.5442346,0.45478192,0.563728,0.5668522,0.48902526,0.55491334,0.58733976,0.56591904,0.5367142
Roman,0.5517524,0.5740322,0.40495807,0.60247755,0.6247496,0.44372222,0.6102928,0.600978,0.50841665,0.55165696
Sergio,0.53459656,0.5456325,0.40696123,0.5282987,0.5479677,0.45539826,0.5525319,0.5442517,0.5002185,0.55599713
Felix,0.5536213,0.5456151,0.46447676,0.6160222,0.58059597,0.56847686,0.60747874,0.5902295,0.5388111,0.58657336
Patricia,0.54450226,0.5706098,0.49734432,0.5739499,0.56465805,0.46980745,0.5872842,0.58199,0.52660704,0.56949425
Laura,0.54021525,0.54864794,0.42631114,0.5835328,0.55982685,0.45610708,0.58237344,0.610067,0.5364622,0.54457533
Amanda,0.52449954,0.5229036,0.42216212,0.58584887,0.60052145,0.47003686,0.5849405,0.5881233,0.53564733,0.5224627
Victoria,0.4854385,0.5464889,0.41382986,0.5053083,0.5364615,0.4715078,0.52057,0.4848696,0.47758865,0.5512334
Julia,0.5423365,0.62922883,0.45409366,0.60121655,0.5981563,0.53037834,0.6074967,0.6199505,0.5748644,0.6012491
Gloria,0.4949742,0.5484686,0.46050864,0.48649287,0.50058067,0.52992356,0.5420739,0.595073,0.54307437,0.54854524
Diana,0.5217949,0.5831847,0.47653997,0.5660499,0.55397606,0.5014383,0.55259013,0.5878631,0.523774,0.5777859
Clara,0.5446151,0.5619577,0.44696048,0.5693408,0.5457429,0.5277755,0.53845847,0.5873574,0.50625795,0.5712871
Paula,0.5349007,0.57274795,0.38223845,0.6031383,0.57938063,0.48113889,0.57009375,0.57941794,0.52520347,0.5300153
Norma,0.58208066,0.56707656,0.41962767,0.5465793,0.6015523,0.4779113,0.5988153,0.593715,0.52847886,0.5522802
