,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
James,0.43808782,0.46802783,0.48081386,0.49028176,0.44690612,0.5444171,0.478533,0.5631467,0.48703837,0.44587022
John,0.43136004,0.5194186,0.47516185,0.49342445,0.4536281,0.5452986,0.45488602,0.56563866,0.548344,0.4646739
Robert,0.42537415,0.5153849,0.47618514,0.48814029,0.46028015,0.53132874,0.4426484,0.5739426,0.58467966,0.4483629
Michael,0.4335122,0.55410504,0.46789366,0.48044857,0.4793826,0.5511609,0.462878,0.5543796,0.54185843,0.5094198
William,0.42369944,0.5236256,0.4557486,0.47843647,0.46399394,0.5061875,0.4624894,0.51315176,0.50776625,0.45983705
David,0.46542382,0.4743734,0.4687245,0.46977243,0.46500468,0.53139913,0.48771793,0.5471311,0.5273582,0.4622288
Joseph,0.44843772,0.5342123,0.46791995,0.45781857,0.42838132,0.5247034,0.46368605,0.5178952,0.5212409,0.43313444
Richard,0.43418133,0.5435788,0.4670369,0.41515929,0.44592857,0.5191263,0.45372802,0.53699845,0.5419545,0.47585833
Charles,0.43019938,0.530084,0.4240687,0.44387022,0.45445156,0.47395277,0.42813116,0.5124024,0.52484804,0.4693036
Thomas,0.43328235,0.52379453,0.46835476,0.47258022,0.47011948,0.54630053,0.46161002,0.558939,0.52878606,0.47967884
Christopher,0.46073622,0.5375017,0.48642308,0.4900149,0.48800015,0.54974914,0.47738183,0.5908507,0.55985165,0.5062649
Daniel,0.4504953,0.48014465,0.4711613,0.4594078,0.4741975,0.53082216,0.47943497,0.5311959,0.52448696,0.48157406
Matthew,0.4604275,0.5193353,0.47328004,0.46355247,0.44276148,0.5525117,0.45650715,0.53190655,0.49927047,0.4378385
George,0.4548768,0.5151274,0.49649268,0.4984076,0.47490472,0.52105665,0.48354536,0.538352,0.5180721,0.48069286
Anthony,0.42187458,0.54140115,0.514857,0.5451374,0.5086102,0.55938625,0.44873375,0.5903207,0.5617046,0.49945217
Donald,0.4844738,0.45603833,0.44886768,0.4134875,0.4508921,0.5206204,0.45994368,0.5173538,0.4883986,0.47233304
Paul,0.4232793,0.55392647,0.45332313,0.46211618,0.43328223,0.52658296,0.4489452,0.5470053,0.53469366,0.45362133
Mark,0.45291957,0.5435172,0.47524872,0.47464293,0.4880329,0.5683958,0.47501564,0.5821476,0.5399735,0.48850375
Andrew,0.4520927,0.5246783,0.45407248,0.47739443,0.4691167,0.5228315,0.48911735,0.5583463,0.53265053,0.4676713
Edward,0.45591095,0.5064907,0.46274656,0.4665326,0.45669493,0.5169998,0.50324434,0.53269863,0.5246541,0.47641727
