"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reginald","Black","happy",0.56671256,"Good"
"Reginald","Black","agreeable",0.5264193,"Good"
"Reginald","Black","polite",0.58734155,"Good"
"Reginald","Black","civil",0.5832259,"Good"
"Reginald","Black","charming",0.5759846,"Good"
"Reginald","Black","gracious",0.4740795,"Good"
"Reginald","Black","gentle",0.58356154,"Good"
"Reginald","Black","approachable",0.4965378,"Good"
"Reginald","Black","love",0.53956896,"Good"
"Reginald","Black","cool",0.63242686,"Good"
"Kameron","Black","happy",0.45951417,"Good"
"Kameron","Black","agreeable",0.4989658,"Good"
"Kameron","Black","polite",0.62114036,"Good"
"Kameron","Black","civil",0.5736231,"Good"
"Kameron","Black","charming",0.5639968,"Good"
"Kameron","Black","gracious",0.46789306,"Good"
"Kameron","Black","gentle",0.5856295,"Good"
"Kameron","Black","approachable",0.47118568,"Good"
"Kameron","Black","love",0.4864539,"Good"
"Kameron","Black","cool",0.54819417,"Good"
"Kendrick","Black","happy",0.59081924,"Good"
"Kendrick","Black","agreeable",0.57462853,"Good"
"Kendrick","Black","polite",0.6246504,"Good"
"Kendrick","Black","civil",0.5979985,"Good"
"Kendrick","Black","charming",0.5738404,"Good"
"Kendrick","Black","gracious",0.51379836,"Good"
"Kendrick","Black","gentle",0.59448594,"Good"
"Kendrick","Black","approachable",0.5544586,"Good"
"Kendrick","Black","love",0.59012413,"Good"
"Kendrick","Black","cool",0.6962224,"Good"
"Javon","Black","happy",0.47546923,"Good"
"Javon","Black","agreeable",0.44816107,"Good"
"Javon","Black","polite",0.6064587,"Good"
"Javon","Black","civil",0.51501065,"Good"
"Javon","Black","charming",0.5474698,"Good"
"Javon","Black","gracious",0.4154082,"Good"
"Javon","Black","gentle",0.498518,"Good"
"Javon","Black","approachable",0.43966302,"Good"
"Javon","Black","love",0.46115243,"Good"
"Javon","Black","cool",0.5659927,"Good"
"Tyrell","Black","happy",0.4416789,"Good"
"Tyrell","Black","agreeable",0.48862708,"Good"
"Tyrell","Black","polite",0.60819674,"Good"
"Tyrell","Black","civil",0.4833422,"Good"
"Tyrell","Black","charming",0.5861608,"Good"
"Tyrell","Black","gracious",0.45250905,"Good"
"Tyrell","Black","gentle",0.5574117,"Good"
"Tyrell","Black","approachable",0.4521895,"Good"
"Tyrell","Black","love",0.46835423,"Good"
"Tyrell","Black","cool",0.5555725,"Good"
"Jamar","Black","happy",0.47414452,"Good"
"Jamar","Black","agreeable",0.4555775,"Good"
"Jamar","Black","polite",0.5662856,"Good"
"Jamar","Black","civil",0.50906754,"Good"
"Jamar","Black","charming",0.5568615,"Good"
"Jamar","Black","gracious",0.35988835,"Good"
