"","term","contrast","estimate","null.value","conf.low","conf.high","adj.p.value","TestName","Model"
"1","Gender","F-M",-0.0410313692628353,0,-0.0671735906747883,-0.0148891478508824,0.00217312060221486,"NC","distilbert_base_multi_cased"
"2","Gender","F-M",-0.00946551875253254,0,-0.0308510849161886,0.0119200474111235,0.384742585676308,"SC","distilbert_base_multi_cased"
"3","Gender","F-M",-0.014691721192393,0,-0.0417962216242425,0.0124127792394564,0.287241825669865,"PG","distilbert_base_multi_cased"
"4","Gender","F-M",-0.0479383086855727,0,-0.0738050568928666,-0.0220715604782788,0.000304626233371574,"UG","distilbert_base_multi_cased"
"5","Race","Chinese-White",-0.0638962388302233,0,-0.105599178616181,-0.0221932990442651,0.000503884639434293,"PR","distilbert_base_multi_cased"
"6","Race","Latinx-White",-0.0113973495009327,0,-0.0531002892868909,0.0303055902850255,0.895672028850408,"PR","distilbert_base_multi_cased"
"7","Race","Black-White",-0.0590458183852471,0,-0.100748758171205,-0.0173428785992889,0.00161826627158468,"PR","distilbert_base_multi_cased"
"8","Race","Latinx-Chinese",0.0524988893292905,0,0.0107959495433323,0.0942018291152487,0.00679200855923257,"PR","distilbert_base_multi_cased"
"9","Race","Black-Chinese",0.00485042044497619,0,-0.036852519340982,0.0465533602309344,0.990667231676395,"PR","distilbert_base_multi_cased"
"10","Race","Black-Latinx",-0.0476484688843143,0,-0.0893514086702725,-0.00594552909835615,0.0176532690914946,"PR","distilbert_base_multi_cased"
"11","Race","Chinese-White",0.0544929208884116,0,0.0151308826444559,0.0938549591323674,0.00218566670613818,"UR","distilbert_base_multi_cased"
"12","Race","Latinx-White",-0.0174193971142588,0,-0.0567814353582145,0.021942641129697,0.665265588217703,"UR","distilbert_base_multi_cased"
"13","Race","Black-White",0.0433064641009269,0,0.00394442585697113,0.0826685023448826,0.0244199449336222,"UR","distilbert_base_multi_cased"
"14","Race","Latinx-Chinese",-0.0719123180026704,0,-0.111274356246626,-0.0325502797587147,1.78875410199453e-05,"UR","distilbert_base_multi_cased"
"15","Race","Black-Chinese",-0.0111864567874848,0,-0.0505484950314405,0.028175581456471,0.884380677872339,"UR","distilbert_base_multi_cased"
"16","Race","Black-Latinx",0.0607258612151856,0,0.0213638229712299,0.100087899459141,0.000451219486803045,"UR","distilbert_base_multi_cased"
