,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.14275418,0.1446869,0.22258623,0.35112476,0.4154035,0.1413225,0.0687961,0.26943287,0.24490273,0.1582437
Kameron,0.22368461,0.12653065,0.2810617,0.31238163,0.69178367,0.14806914,0.22316751,0.27777636,0.3464331,0.22172514
Kendrick,0.26961264,0.21156932,0.28618026,0.2699602,0.44143718,0.024427056,0.12345463,0.110704884,0.24599695,0.14518158
Javon,0.29557085,0.18665445,0.38387865,0.42485213,0.7808699,0.25099888,0.26964307,0.3206151,0.48717636,0.34454745
Tyrell,0.16927135,0.10074307,0.19724645,0.3409174,0.4229633,0.08439871,0.12460834,0.32642794,0.26832044,0.19743904
Jamar,0.29754284,0.19682297,0.35382286,0.36635625,0.6589824,0.18482289,0.2707703,0.3293048,0.43181613,0.2838466
Camron,0.14118865,0.09002036,0.18488336,0.23404764,0.6024511,0.09432738,0.19896309,0.1801484,0.22768152,0.15301275
Tyree,0.20860735,0.17945611,0.2309884,0.34538394,0.4068069,0.13717003,0.08902299,0.35458153,0.2814201,0.22083606
Jamari,0.33167174,0.20244204,0.36641675,0.3964051,0.70046806,0.21092312,0.28137267,0.3608842,0.46271452,0.3344869
Reggie,0.16860557,0.2087562,0.22164634,0.30134767,0.40404248,0.16819847,0.05499317,0.23835301,0.24578983,0.19693609
Jada,0.31812406,0.25050017,0.3982243,0.4556753,0.7934736,0.2878492,0.2699188,0.38037333,0.50567627,0.3503705
Latoya,0.12164026,0.117209986,0.15476137,0.29363006,0.5494659,0.16705793,0.13331527,0.3402065,0.28865182,0.1733226
Jayla,0.15104546,0.10563384,0.20747828,0.23270029,0.5693727,0.09491035,0.21038657,0.2613737,0.29548818,0.1644455
Tamika,0.2563963,0.22720252,0.33242035,0.3523321,0.6368456,0.22165492,0.21330813,0.35167065,0.43181854,0.3083411
Latoyna,0.16369551,0.10375109,0.18668142,0.3058219,0.5900569,0.18423781,0.15245229,0.34240603,0.31504565,0.1875897
Journey,0.13310921,0.09276979,0.16163398,0.19508675,0.48082,0.045950964,0.15381408,0.19047242,0.22452459,0.12612702
Tameka,0.34327066,0.3063984,0.41126296,0.46362054,0.7550932,0.27595773,0.26273316,0.40912253,0.5017718,0.33134714
Journee,0.29654434,0.21147434,0.36995864,0.46091038,0.75342727,0.22454494,0.26948315,0.35159314,0.4715798,0.3113104
Lawanda,0.1733161,0.110717446,0.23868231,0.28178704,0.52189,0.10874282,0.26339394,0.24640734,0.30773163,0.16860968
Janiya,0.18917644,0.1835879,0.25528312,0.22100407,0.5211123,0.13625282,0.046795413,0.21558031,0.27089965,0.14094648
