,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.26826936,0.33771408,0.3054667,0.4758532,0.2953259,0.3954295,0.2762472,0.41287,0.34521192,0.3383084
Shan,0.26206684,0.3487836,0.31814575,0.51319414,0.2960282,0.37360305,0.24655187,0.41903389,0.28144622,0.29860246
Lew,0.4404704,0.47623593,0.43119842,0.6075206,0.4699243,0.51999676,0.47763002,0.5027865,0.48061538,0.49981236
Long,0.45454395,0.4779171,0.29065514,0.3839144,0.37381878,0.4597123,0.25328377,0.45055565,0.45496845,0.41207966
Quan,0.24471007,0.30072433,0.23363033,0.4131623,0.22920549,0.29632035,0.1775738,0.39539936,0.30457574,0.28514254
Jun,0.435784,0.5382695,0.4587593,0.6238599,0.4266085,0.54574907,0.35889745,0.57044786,0.47798854,0.49286667
Tou,0.39081416,0.5089374,0.39434654,0.5570325,0.40927905,0.537184,0.33209342,0.52018183,0.478385,0.43381566
Jin,0.39470854,0.43267062,0.32959184,0.5205474,0.40786284,0.43391347,0.26680413,0.44902414,0.35987514,0.3968041
Cai,0.48170134,0.55970836,0.46355468,0.702203,0.5046622,0.58705544,0.4501385,0.6492545,0.533749,0.53157187
Chan,0.38576767,0.3910361,0.34990197,0.48846367,0.38441247,0.39323545,0.34057474,0.53464526,0.4021839,0.4192453
Lue,0.29256988,0.44537553,0.41793674,0.5404836,0.3141808,0.41945612,0.39553356,0.4987803,0.3729937,0.40817052
China,0.17431182,0.19699615,0.21231374,0.28066987,0.20607023,0.1991143,0.20417309,0.19232336,0.1911191,0.20575538
Lu,0.40087575,0.4897384,0.36284643,0.5877638,0.45920134,0.4717229,0.43545705,0.54174125,0.49044555,0.47415423
Maylee,0.270778,0.34023112,0.3639844,0.5057528,0.35366818,0.4184843,0.40638596,0.45994014,0.36553973,0.32014984
Tennie,0.2726247,0.34463555,0.33029735,0.43003473,0.29110783,0.3132562,0.29367727,0.4522629,0.33565843,0.3332671
Maylin,0.36116832,0.4333074,0.39182496,0.55328184,0.402493,0.48961008,0.42957872,0.50377613,0.46354398,0.41551864
Chynna,0.503013,0.61131793,0.52626145,0.6937915,0.58161306,0.63163596,0.52748585,0.6652496,0.5984576,0.60646653
Jia,0.30479592,0.379627,0.32788467,0.51069343,0.33202404,0.4304392,0.28888178,0.39367455,0.37055272,0.360702
Mei,0.41580036,0.5032919,0.46804178,0.6363448,0.43349198,0.51784074,0.4259811,0.5431211,0.49853855,0.4859165
Tylee,0.28197646,0.3641727,0.30180606,0.43103904,0.28762698,0.36665028,0.29089934,0.39737594,0.35715696,0.3301313
