,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.17359623,0.086089924,0.22470415,0.26375896,0.4397621,0.1584565,0.14513835,0.24783808,0.25089186,0.19629668
Shan,0.24300963,0.15456367,0.27056897,0.2902575,0.48901796,0.24103431,0.23772961,0.33707514,0.3745681,0.26192155
Lew,0.347942,0.31205273,0.33159134,0.36178336,0.5483302,0.17444238,0.17728339,0.2729129,0.35536304,0.18656266
Long,0.20963669,0.14153726,0.3016647,0.45792633,0.5458825,0.14833637,0.34385926,0.3484851,0.44729173,0.32616013
Quan,0.22721635,0.111474015,0.31978643,0.2653352,0.7116319,0.17124099,0.17806253,0.2090103,0.3320101,0.2585826
Jun,0.3190967,0.21957624,0.39487875,0.39259756,0.67784095,0.23966727,0.20761254,0.33258408,0.41780904,0.2910155
Tou,0.3257771,0.20115814,0.35985127,0.46542627,0.7479439,0.27218992,0.2659685,0.40494236,0.4898932,0.35065955
Jin,0.2837571,0.14223802,0.34102634,0.3269226,0.4256869,0.17295766,0.18329231,0.29997933,0.29521322,0.18979982
Cai,0.32423338,0.25242335,0.37660044,0.43470043,0.7497523,0.26720965,0.29713798,0.3701836,0.47963005,0.33326572
Chan,0.18006581,0.11328636,0.2508751,0.2880135,0.5704694,0.10778029,0.17981865,0.17468493,0.27712005,0.1549329
Lue,0.20443681,0.20090464,0.2684732,0.30164286,0.6563819,0.2697236,0.19262964,0.3062513,0.3927936,0.32843697
China,-0.0011676764,0.054343253,0.015783198,0.052307945,0.1240561,0.017453125,0.03266153,0.053618256,-0.030120451,-0.03600494
Lu,0.26484945,0.23861909,0.3579557,0.46328512,0.7393489,0.24052434,0.3110935,0.35753408,0.44082174,0.27377015
Maylee,0.21177253,0.18292461,0.19203123,0.20997278,0.5151355,0.13885377,0.09465986,0.23437111,0.25890014,0.15856424
Tennie,0.09718381,0.12069677,0.19890685,0.25867274,0.48259148,0.18071377,0.13594434,0.1951466,0.2446923,0.18709031
Maylin,0.22777635,0.19706614,0.23019674,0.29150057,0.6502297,0.16678104,0.13568911,0.27055538,0.33561853,0.20323712
Chynna,0.3722363,0.25653592,0.43150735,0.4990795,0.7243475,0.2963659,0.30895534,0.46133155,0.524727,0.34450036
Jia,0.23374382,0.15769815,0.24643473,0.29626393,0.46157056,0.22093043,0.16113389,0.3105935,0.28103954,0.22368777
Mei,0.31888092,0.26914465,0.3573115,0.36062953,0.5855322,0.24661925,0.17097598,0.32537785,0.36346513,0.25549433
Tylee,0.1702322,0.12544242,0.22184646,0.3159954,0.5561335,0.17738028,0.17235641,0.292561,0.28781062,0.22819236
