,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.26432312,0.2850212,0.23853268,0.4045049,0.24950668,0.3316705,0.2604733,0.32837224,0.34697825,0.26980272
John,0.2639168,0.3082859,0.21840453,0.43245417,0.21975994,0.3408131,0.24821685,0.32975274,0.34264314,0.3609684
Robert,0.15916398,0.21073428,0.21570513,0.27465034,0.1272277,0.27230167,0.22711629,0.28596747,0.25233507,0.20232472
Michael,0.33625138,0.33914006,0.3163634,0.52287275,0.3478049,0.48747677,0.28458756,0.4401947,0.32777095,0.3522959
William,0.18822092,0.22007972,0.11572665,0.36174583,0.20707516,0.29601163,0.1618242,0.2687218,0.29312193,0.23866513
David,0.23833655,0.33634537,0.30900776,0.45902675,0.24880782,0.342114,0.30751342,0.34633017,0.3511923,0.30911863
Joseph,0.23137826,0.28873366,0.22329372,0.32501912,0.18530455,0.33460975,0.1540342,0.30573934,0.25099245,0.21738413
Richard,0.10880166,0.170773,0.13242668,0.24783126,0.1033667,0.2479958,0.09759949,0.19752683,0.21275857,0.13344291
Charles,0.24169353,0.3079599,0.26763418,0.3918221,0.31061703,0.40368313,0.28764707,0.3962986,0.34859836,0.2649699
Thomas,0.19456469,0.28964508,0.2728754,0.43060777,0.17953148,0.34403092,0.19752121,0.37115502,0.2535602,0.26524004
Mary,0.253565,0.31178445,0.28363204,0.44033712,0.26225048,0.44423962,0.3372403,0.35712558,0.36752033,0.26120588
Elizabeth,0.06612611,0.23639208,0.26802188,0.38609046,0.15841071,0.24409309,0.30147398,0.28947657,0.2578113,0.20023036
Patricia,0.24977978,0.3542248,0.4315763,0.57555145,0.2864222,0.39063734,0.38500705,0.38352406,0.2611066,0.36665615
Jennifer,0.28470394,0.3507586,0.37309062,0.55700636,0.363007,0.39644128,0.39640743,0.32754853,0.30841893,0.36252353
Linda,0.27752554,0.4139093,0.41652045,0.55209446,0.33119142,0.42101562,0.5102862,0.3996337,0.3960383,0.48827633
Barbara,0.23249182,0.2933902,0.30999386,0.45846507,0.24779609,0.39190918,0.37161422,0.3088627,0.3491881,0.36044416
Margaret,0.2055891,0.38156682,0.42142713,0.527692,0.29781085,0.4158915,0.42034227,0.38927704,0.3947124,0.31359708
Susan,0.2739263,0.39011273,0.43012363,0.5015816,0.3568727,0.38844615,0.36231115,0.39264667,0.35587415,0.35617766
Sarah,0.2999646,0.34604555,0.34378037,0.52776223,0.35281545,0.42535266,0.3258592,0.45958883,0.33186954,0.32568938
Jessica,0.18992156,0.30672944,0.2658331,0.42696878,0.2025604,0.32402432,0.25386912,0.27510494,0.27477226,0.30674434
