,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.3712855,0.2714088,0.32140917,0.21779466,0.17020096,0.20388265,0.2416285,0.25512677,0.29477966,0.2746726
Elizabeth,0.15544239,0.044296876,0.20800102,0.1780615,0.115588754,0.14263815,0.28211686,0.068940535,0.2794373,0.20957343
Patricia,0.23658031,0.1069019,0.23876578,0.25493872,0.24215382,0.22219977,0.22531408,0.11719085,0.24570173,0.33194193
Jennifer,0.37223655,0.17406967,0.31010085,0.33288133,0.18267684,0.31793588,0.24205706,0.22689408,0.31906432,0.31773293
Linda,0.3657023,0.14099088,0.1955568,0.21093757,0.29597297,0.3207897,0.2123003,0.21645938,0.27420002,0.27275038
Barbara,0.3549684,0.17354067,0.23365527,0.2979594,0.19199233,0.25649053,0.18835135,0.20156884,0.27492356,0.17656973
Margaret,0.22138263,0.17867309,0.31730932,0.22618768,0.15097645,0.1916287,0.3588456,0.13768882,0.2764312,0.33588994
Susan,0.27428102,0.124387726,0.208388,0.30022347,0.21609506,0.27442285,0.3190601,0.09195277,0.31608123,0.2216116
Dorothy,0.16652724,0.082147956,0.23552181,0.24192274,0.17081612,0.14313334,0.12933992,0.15835334,0.27446693,0.17008355
Sarah,0.42269045,0.23184735,0.32469013,0.3047533,0.3361972,0.36219487,0.17612472,0.306211,0.34943664,0.31895083
Jessica,0.24531405,0.06907579,0.20132786,0.2016322,0.20230249,0.2518807,0.22284913,0.07029944,0.21326339,0.23267683
Helen,0.27561307,0.034230407,0.22158714,0.16065413,0.16744693,0.21560216,0.23091209,0.103743955,0.185778,0.19398788
Nancy,0.29037923,0.08188778,0.25158107,0.27691606,0.21515204,0.25244188,0.2671737,0.22119659,0.30046207,0.13477945
Betty,0.23803636,0.12818229,0.2174108,0.112224214,0.1917617,0.13417274,0.12792376,0.14522284,0.20897552,0.16091381
Karen,0.31434035,0.26123467,0.40126404,0.3234855,0.26685777,0.2834161,0.26276413,0.28949434,0.2579686,0.41969132
Lisa,0.29901814,0.25488898,0.18820652,0.1175775,0.19248056,0.18289766,0.28826925,0.15209861,0.18770014,0.24064744
Anna,0.45566267,0.14154926,0.3031576,0.26711932,0.18333933,0.4044832,0.25496823,0.11744528,0.22603741,0.29797012
Sandra,0.25926855,0.23658788,0.28946954,0.14761826,0.1438448,0.22575717,0.25494927,0.19761497,0.23539169,0.35023847
Emily,0.33275238,0.093602106,0.23552401,0.23315835,0.22615689,0.311271,0.3690474,0.17575207,0.36128125,0.31114393
Ashley,0.28550375,0.021766094,0.23205206,0.23886065,0.16166726,0.23902771,0.16813089,0.027851505,0.18091446,0.20841956
