,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.253565,0.31178445,0.28363198,0.4403371,0.26225042,0.4442396,0.33724028,0.35712558,0.36752033,0.26120585
Elizabeth,0.06612606,0.23639208,0.26802194,0.38609058,0.15841068,0.24409315,0.30147406,0.28947657,0.25781134,0.20023036
Patricia,0.24977969,0.35422474,0.43157625,0.57555133,0.28642207,0.39063722,0.38500696,0.383524,0.26110655,0.36665606
Jennifer,0.28470385,0.3507585,0.3730905,0.5570062,0.3630069,0.39644107,0.39640734,0.32754838,0.30841878,0.3625234
Linda,0.27752545,0.4139092,0.4165204,0.55209446,0.33119133,0.42101553,0.5102862,0.39963368,0.39603817,0.4882763
Barbara,0.23249194,0.29339033,0.30999398,0.4584652,0.24779625,0.39190927,0.37161428,0.3088627,0.3491881,0.36044428
Margaret,0.20558903,0.38156676,0.4214271,0.527692,0.2978108,0.41589147,0.4203422,0.389277,0.3947124,0.31359702
Susan,0.27392632,0.39011273,0.43012363,0.50158167,0.35687274,0.3884462,0.3623111,0.39264673,0.35587412,0.3561777
Dorothy,0.21624932,0.27737063,0.22873065,0.32641348,0.28381574,0.28376895,0.28951573,0.2875889,0.25491792,0.2691455
Sarah,0.29996455,0.3460455,0.3437804,0.5277622,0.3528154,0.42535263,0.3258592,0.45958886,0.33186948,0.3256894
Jessica,0.18992157,0.30672944,0.26583308,0.4269688,0.2025604,0.32402426,0.2538691,0.275105,0.2747723,0.30674434
Helen,0.14747262,0.25164565,0.2536,0.2906053,0.23000391,0.2584911,0.20357665,0.26290005,0.29223216,0.2377693
Nancy,0.21341069,0.31295723,0.3473581,0.47116786,0.33964527,0.33568543,0.35165793,0.3614654,0.3709751,0.2891971
Betty,0.26371193,0.33080572,0.2736823,0.49447745,0.30049703,0.34252936,0.2739422,0.2989189,0.31163067,0.32202923
Karen,0.3294345,0.3548578,0.37682396,0.47580206,0.31921786,0.44018885,0.3247959,0.40577525,0.3353414,0.29917255
Lisa,0.25269532,0.25842473,0.34961933,0.36760962,0.3060106,0.3402562,0.3070563,0.30278668,0.28224352,0.2956579
Anna,0.24055043,0.3711617,0.34657335,0.4899991,0.32892624,0.41033223,0.35760334,0.40203935,0.36277786,0.39649653
Sandra,0.28002813,0.38440236,0.40106848,0.54198647,0.30494127,0.43227565,0.36929452,0.34550655,0.25860608,0.36892968
Emily,0.114202425,0.21918945,0.26455867,0.3957652,0.26141396,0.21614517,0.26462752,0.35775983,0.20081873,0.27264068
Ashley,0.22718352,0.40264565,0.36926597,0.48754898,0.35524595,0.38501,0.4624327,0.39527008,0.37178212,0.4125403
