,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.15179422,0.13415673,0.22974703,0.34510264,0.5397054,0.22317067,0.1588788,0.21938118,0.31254023,0.22864945
Elizabeth,0.08107549,0.072515726,0.14202325,0.18117958,0.39010194,0.104354285,0.05106566,0.110688224,0.17840487,0.063700005
Patricia,0.23220122,0.2647258,0.22243044,0.22797479,0.33314627,0.25971982,0.085566215,0.24542058,0.27358568,0.22958194
Jennifer,0.26556557,0.3187273,0.303981,0.30736554,0.39150512,0.2526483,0.1781024,0.2828192,0.30999774,0.2770511
Linda,0.18010497,0.27932072,0.23776558,0.29684648,0.32738864,0.14500678,0.06856084,0.23838586,0.21659,0.14357887
Barbara,0.22488979,0.1772269,0.22603863,0.2983807,0.34354776,0.16703615,0.10149939,0.17547496,0.26445037,0.20473805
Margaret,0.19934922,0.17978384,0.27107054,0.28602558,0.4821341,0.2637411,0.10334723,0.29346812,0.30071518,0.197692
Susan,0.2960016,0.20916407,0.2850179,0.27893132,0.43442047,0.22034773,0.1246621,0.29256135,0.33109665,0.20276278
Dorothy,0.16743174,0.14432696,0.21967743,0.23467702,0.2968101,0.044790722,0.019812196,0.15544438,0.1859597,0.032553703
Sarah,0.21899727,0.11185614,0.27191967,0.29060256,0.50816053,0.18249223,0.1201195,0.22740322,0.3300805,0.20431605
Jessica,0.22262906,0.23598725,0.29621,0.24987513,0.4215991,0.23846947,0.12778226,0.24991202,0.33523524,0.24479331
Helen,0.06540789,-0.0022070706,0.10477017,0.121777646,0.39934972,0.11975643,0.1630025,0.11392994,0.19633237,0.14293532
Nancy,0.2345731,0.11810452,0.27456963,0.25024712,0.37989765,0.27024075,0.23011604,0.25504482,0.3391846,0.2550252
Betty,0.19240718,0.18504864,0.18716595,0.30413222,0.3154006,0.25030398,0.070953466,0.19254436,0.20725857,0.1903547
Karen,0.15407023,0.1602784,0.17306092,0.20733424,0.33837715,0.11040068,0.06789037,0.099126,0.20832656,0.1250206
Lisa,0.18118805,0.2350367,0.097995415,0.13708086,0.31382686,0.14424117,-0.00056567416,0.068159476,0.19682294,0.088782296
Anna,0.30753493,0.23234397,0.29709825,0.3203306,0.55570745,0.22532824,0.18379563,0.28273407,0.36788404,0.23929906
Sandra,0.31139696,0.37624574,0.28422746,0.31355268,0.3437596,0.20399211,0.08294321,0.17307179,0.26463836,0.1871748
Emily,0.24407683,0.14241378,0.21505535,0.19854835,0.47232297,0.24291028,0.18464908,0.23475984,0.30960786,0.24140823
Ashley,0.3031785,0.29209858,0.33014098,0.2674151,0.3365779,0.2265029,0.13052127,0.3049847,0.3514368,0.21687427
