,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.2139548,0.18629594,0.18473932,0.22775054,0.37621108,0.12124862,0.071145155,0.10857681,0.22964233,0.09454317
Vincent,0.047648765,0.25976112,0.13847874,0.250511,0.345577,0.09580228,0.04665646,0.24859257,0.13725516,0.1119976
Victor,0.17555976,0.105839185,0.22018021,0.26738602,0.28987724,0.08808554,0.22620997,0.30903035,0.25932592,0.0895677
Adrian,0.30012232,0.19926152,0.263543,0.24220487,0.40186885,0.13051651,0.10086915,0.18926668,0.28764242,0.14842194
Marcus,0.16836819,0.039810866,0.18633454,0.13321531,0.23962495,0.14047214,0.11291212,0.18105464,0.21700934,0.17916508
Leo,0.24585581,0.19424373,0.26952735,0.38079593,0.5086125,0.19031319,0.23092763,0.2744498,0.36027974,0.21629098
Miles,0.12039487,0.10372779,0.2510534,0.32325566,0.4836282,0.16397256,0.15253802,0.19177297,0.32615033,0.20478202
Roman,0.073413454,0.077376746,0.093050405,0.18646902,0.23921442,0.09474001,0.09448727,0.14899789,0.1847214,0.12564965
Sergio,0.14429535,0.18906593,0.116544634,0.23538981,0.23573652,0.075422645,0.12704544,0.1773632,0.122853115,0.1415638
Felix,0.18617445,0.13324378,0.16529436,0.18744205,0.3540079,0.20301735,0.08685728,0.21838695,0.20673926,0.15413561
Patricia,0.23220122,0.2647258,0.22243044,0.22797479,0.33314627,0.25971982,0.085566215,0.24542058,0.27358568,0.22958194
Laura,0.088414356,0.06654753,0.08151439,0.16350216,0.37077016,0.17193525,0.10143104,0.2366777,0.20106825,0.130618
Amanda,0.26236308,0.13820155,0.21730949,0.26307884,0.4441088,0.2883374,0.18628722,0.31911674,0.34351683,0.29134512
Victoria,-0.007814078,-0.10065813,0.09552807,0.094755486,0.3446689,0.096316904,0.19016111,0.19283068,0.17755258,0.06431776
Julia,0.1397998,0.12105958,0.1345061,0.18698189,0.39368305,0.22800685,0.059176896,0.21151088,0.22556475,0.20522523
Gloria,0.2576776,0.24707389,0.2619294,0.32717404,0.51730263,0.1914767,0.20688953,0.25987643,0.31913543,0.25669557
Diana,0.1071758,0.23499198,0.16034032,0.18586275,0.39441973,0.058999225,0.102850735,0.124625854,0.21291055,0.10960441
Clara,0.18059643,0.16274387,0.16549501,0.13769518,0.30087727,0.06598206,0.035327338,0.090569355,0.14644165,0.07246113
Paula,0.19089091,0.13119814,0.26278317,0.18791127,0.37902376,0.093813084,0.075733826,0.10003303,0.24040535,0.10286054
Norma,0.28220543,0.3897381,0.37928158,0.3808871,0.50833035,0.226895,0.12582646,0.22308531,0.3704888,0.2204535
