,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.37754798,0.18282874,0.1598059,0.26848644,0.23337083,0.30091885,0.09203529,0.30306396,0.23051003,0.2599047
John,0.3871044,-0.011260821,0.058279116,0.21687561,0.22151837,0.34768182,0.03855749,0.16079572,0.12240719,0.27583018
Robert,0.2841521,0.058633007,-0.00011718273,0.30849257,0.24890313,0.25604987,0.09824966,0.2166645,0.12634698,0.4184143
Michael,0.42531055,0.18638295,0.20054677,0.38378137,0.21226215,0.33450675,0.070292994,0.29372266,0.2072748,0.28088003
William,0.44050458,0.102511406,0.19471186,0.17655273,0.23763318,0.36421147,0.024962064,0.27865624,0.22191736,0.19471437
David,0.31239194,0.16146058,0.03693361,0.23748605,0.261625,0.255271,0.19079463,0.3162089,0.35567915,0.33258814
Joseph,0.2750674,0.19020087,0.13571529,0.23042475,0.1617726,0.17833325,0.19068402,0.21208116,0.2008124,0.26591465
Richard,0.19526234,0.026765563,0.023935273,0.4176202,0.11271298,0.23129314,0.0256323,0.114885345,0.13815627,0.31508404
Charles,0.26657683,0.12557107,0.06646664,0.38965517,0.13755375,0.26950246,0.07691911,0.1651139,0.21428911,0.37358242
Thomas,0.33364677,0.0872106,0.06324434,0.36878088,0.15090974,0.294852,0.11637579,0.1383693,0.08424918,0.31099808
Christopher,0.41928393,0.18720606,0.20911218,0.24239035,0.23223673,0.37017524,0.08281296,0.24730967,0.2872851,0.22636588
Daniel,0.32589123,0.12623554,0.12439615,0.28490734,0.1766909,0.27382284,0.18546195,0.15679777,0.15063521,0.2677192
Matthew,0.27548254,0.011455037,0.08481132,0.17350148,0.2902546,0.22392559,0.115227334,0.16829166,0.27950767,0.26614892
George,0.42300236,0.19074626,0.16982868,0.23590422,0.23138079,0.3267302,0.13482013,0.27262396,0.20616813,0.22967526
Anthony,0.31651706,0.17158723,0.22058836,0.37462968,0.18994218,0.33296302,0.12869896,0.2079424,0.28573155,0.35764486
Donald,0.17765549,0.103938416,-0.078158274,0.21207865,0.072380036,0.16057962,0.048708674,0.10065259,0.11383429,0.23047309
Paul,0.48564878,0.2835457,0.26499468,0.1281054,0.124060854,0.38116995,0.20889091,0.17776862,0.33978248,0.1929389
Mark,0.4599012,0.15480241,0.14095733,0.25340486,0.31917334,0.326245,0.19548047,0.22683051,0.3750624,0.37808952
Andrew,0.30938542,0.17953247,0.27858126,0.23059133,0.1098795,0.25277048,0.2210908,0.27322888,0.22718884,0.25958312
Edward,0.2735694,0.10011423,0.14518853,0.33532965,0.18760997,0.26963282,0.15986058,0.25468487,0.21823874,0.34107834
