,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
James,0.06366048,0.06919962,0.23247509,0.12292327,0.21084316,0.21509224,0.1918323,0.10356225,0.059238877,0.048710603
John,0.045015365,-0.051359586,0.1648094,0.10572039,0.1632831,0.14203691,0.081107125,0.12092305,0.19560944,0.023461401
Robert,0.1742968,0.039819345,0.17823876,0.17462492,0.23301908,0.24172023,0.17286274,0.26243025,0.31478328,0.13723207
Michael,0.11048967,0.13679744,0.18464538,0.18451802,0.28945476,0.26788697,0.1076895,0.3084389,0.19603565,0.17656365
William,0.056919284,-0.023466423,0.21103722,0.050708737,0.23193988,0.18900001,0.13470197,0.056292154,0.11850667,0.03229553
David,0.17349115,0.10950532,0.32815623,0.30219543,0.18401034,0.37127507,0.21202995,0.40928078,0.399548,0.119284585
Joseph,0.12544468,0.0032273568,0.18714347,0.1455215,0.10179117,0.23364052,0.15826738,0.20236653,0.19160686,0.062525034
Richard,0.09474872,-0.010310756,0.065831095,0.08543424,0.120876834,0.14470285,0.028223267,0.33849832,0.39378685,0.08131671
Charles,0.14406195,0.043980695,0.122280695,0.14491758,0.20196073,0.1603191,0.08386712,0.34020007,0.23396975,0.15807419
Thomas,0.07975988,0.053890087,0.16275296,0.19545615,0.21965274,0.19113195,0.059031732,0.24872859,0.31223905,0.11951138
Christopher,0.14374372,-0.009341303,0.20893276,0.1843638,0.2050307,0.2355557,0.17905049,0.20231085,0.23194683,0.06535539
Daniel,0.036055665,0.121243924,0.27445316,0.258969,0.1998065,0.18573141,0.09064753,0.26395893,0.21800251,0.084676765
Matthew,0.024260655,0.0076353615,0.19433205,0.1810446,0.12217334,0.13205576,0.046820905,0.30948302,0.35503578,-0.014064845
George,0.0822218,0.12075571,0.32555604,0.16019814,0.15787014,0.29730105,0.12309328,0.21846133,0.20854501,0.0275623
Anthony,0.1699348,0.105845205,0.17979228,0.16846293,0.2903059,0.254212,0.21002533,0.40917927,0.318923,0.11539059
Donald,0.110562116,0.028042499,0.20897642,0.24037781,0.17893502,0.24950337,0.02730837,0.30854893,0.3159632,0.19242527
Paul,0.11317271,0.19041073,0.43418944,0.26185477,0.15510039,0.24999702,0.15471917,0.2921791,0.20271663,0.08514362
Mark,0.173375,0.1111789,0.31762213,0.22812438,0.20489603,0.29076076,0.17384411,0.4784979,0.4719513,0.1175798
Andrew,0.11800791,0.12562081,0.25986785,0.16881241,0.23487458,0.29229054,0.26026636,0.3083278,0.23839247,0.12056408
Edward,0.13694721,0.051437832,0.20995118,0.12692125,0.2604246,0.2740257,0.17323618,0.30035394,0.30040973,0.092449166
