"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.06366048,"Yes"
"James","M","Nurse.Practitioner",0.06919962,"Yes"
"James","M","Health.Services.Manager",0.23247509,"Yes"
"James","M","Physicians.Assistant",0.12292327,"Yes"
"James","M","Security.Analyst",0.21084316,"Yes"
"James","M","IT.Manager",0.21509224,"Yes"
"James","M","Web.Developer",0.1918323,"Yes"
"James","M","Dentist",0.10356225,"Yes"
"James","M","Orthodontist",0.059238877,"Yes"
"James","M","Computer.Systems.Analyst",0.048710603,"Yes"
"John","M","Software.Developer",0.045015365,"Yes"
"John","M","Nurse.Practitioner",-0.051359586,"Yes"
"John","M","Health.Services.Manager",0.1648094,"Yes"
"John","M","Physicians.Assistant",0.10572039,"Yes"
"John","M","Security.Analyst",0.1632831,"Yes"
"John","M","IT.Manager",0.14203691,"Yes"
"John","M","Web.Developer",0.081107125,"Yes"
"John","M","Dentist",0.12092305,"Yes"
"John","M","Orthodontist",0.19560944,"Yes"
"John","M","Computer.Systems.Analyst",0.023461401,"Yes"
"Robert","M","Software.Developer",0.1742968,"Yes"
"Robert","M","Nurse.Practitioner",0.039819345,"Yes"
"Robert","M","Health.Services.Manager",0.17823876,"Yes"
"Robert","M","Physicians.Assistant",0.17462492,"Yes"
"Robert","M","Security.Analyst",0.23301908,"Yes"
"Robert","M","IT.Manager",0.24172023,"Yes"
"Robert","M","Web.Developer",0.17286274,"Yes"
"Robert","M","Dentist",0.26243025,"Yes"
"Robert","M","Orthodontist",0.31478328,"Yes"
"Robert","M","Computer.Systems.Analyst",0.13723207,"Yes"
"Michael","M","Software.Developer",0.11048967,"Yes"
"Michael","M","Nurse.Practitioner",0.13679744,"Yes"
"Michael","M","Health.Services.Manager",0.18464538,"Yes"
"Michael","M","Physicians.Assistant",0.18451802,"Yes"
"Michael","M","Security.Analyst",0.28945476,"Yes"
"Michael","M","IT.Manager",0.26788697,"Yes"
"Michael","M","Web.Developer",0.1076895,"Yes"
"Michael","M","Dentist",0.3084389,"Yes"
"Michael","M","Orthodontist",0.19603565,"Yes"
"Michael","M","Computer.Systems.Analyst",0.17656365,"Yes"
"William","M","Software.Developer",0.056919284,"Yes"
"William","M","Nurse.Practitioner",-0.023466423,"Yes"
"William","M","Health.Services.Manager",0.21103722,"Yes"
"William","M","Physicians.Assistant",0.050708737,"Yes"
"William","M","Security.Analyst",0.23193988,"Yes"
"William","M","IT.Manager",0.18900001,"Yes"
"William","M","Web.Developer",0.13470197,"Yes"
"William","M","Dentist",0.056292154,"Yes"
"William","M","Orthodontist",0.11850667,"Yes"
"William","M","Computer.Systems.Analyst",0.03229553,"Yes"
