"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"James","M","happy",0.26432312,"Good"
"James","M","agreeable",0.2850212,"Good"
"James","M","polite",0.23853268,"Good"
"James","M","civil",0.4045049,"Good"
"James","M","charming",0.24950668,"Good"
"James","M","gracious",0.3316705,"Good"
"James","M","gentle",0.2604733,"Good"
"James","M","approachable",0.32837224,"Good"
"James","M","love",0.34697825,"Good"
"James","M","cool",0.26980272,"Good"
"John","M","happy",0.2639168,"Good"
"John","M","agreeable",0.3082859,"Good"
"John","M","polite",0.21840453,"Good"
"John","M","civil",0.43245417,"Good"
"John","M","charming",0.21975994,"Good"
"John","M","gracious",0.3408131,"Good"
"John","M","gentle",0.24821685,"Good"
"John","M","approachable",0.32975274,"Good"
"John","M","love",0.34264314,"Good"
"John","M","cool",0.3609684,"Good"
"Robert","M","happy",0.15916398,"Good"
"Robert","M","agreeable",0.21073428,"Good"
"Robert","M","polite",0.21570513,"Good"
"Robert","M","civil",0.27465034,"Good"
"Robert","M","charming",0.1272277,"Good"
"Robert","M","gracious",0.27230167,"Good"
"Robert","M","gentle",0.22711629,"Good"
"Robert","M","approachable",0.28596747,"Good"
"Robert","M","love",0.25233507,"Good"
"Robert","M","cool",0.20232472,"Good"
"Michael","M","happy",0.33625138,"Good"
"Michael","M","agreeable",0.33914006,"Good"
"Michael","M","polite",0.3163634,"Good"
"Michael","M","civil",0.52287275,"Good"
"Michael","M","charming",0.3478049,"Good"
"Michael","M","gracious",0.48747677,"Good"
"Michael","M","gentle",0.28458756,"Good"
"Michael","M","approachable",0.4401947,"Good"
"Michael","M","love",0.32777095,"Good"
"Michael","M","cool",0.3522959,"Good"
"William","M","happy",0.18822092,"Good"
"William","M","agreeable",0.22007972,"Good"
"William","M","polite",0.11572665,"Good"
"William","M","civil",0.36174583,"Good"
"William","M","charming",0.20707516,"Good"
"William","M","gracious",0.29601163,"Good"
"William","M","gentle",0.1618242,"Good"
"William","M","approachable",0.2687218,"Good"
"William","M","love",0.29312193,"Good"
"William","M","cool",0.23866513,"Good"
"David","M","happy",0.23833655,"Good"
"David","M","agreeable",0.33634537,"Good"
"David","M","polite",0.30900776,"Good"
"David","M","civil",0.45902675,"Good"
"David","M","charming",0.24880782,"Good"
"David","M","gracious",0.342114,"Good"
"David","M","gentle",0.30751342,"Good"
"David","M","approachable",0.34633017,"Good"
"David","M","love",0.3511923,"Good"
"David","M","cool",0.30911863,"Good"
"Joseph","M","happy",0.23137826,"Good"
"Joseph","M","agreeable",0.28873366,"Good"
"Joseph","M","polite",0.22329372,"Good"
"Joseph","M","civil",0.32501912,"Good"
"Joseph","M","charming",0.18530455,"Good"
"Joseph","M","gracious",0.33460975,"Good"
"Joseph","M","gentle",0.1540342,"Good"
"Joseph","M","approachable",0.30573934,"Good"
"Joseph","M","love",0.25099245,"Good"
"Joseph","M","cool",0.21738413,"Good"
"Richard","M","happy",0.10880166,"Good"
"Richard","M","agreeable",0.170773,"Good"
"Richard","M","polite",0.13242668,"Good"
"Richard","M","civil",0.24783126,"Good"
"Richard","M","charming",0.1033667,"Good"
"Richard","M","gracious",0.2479958,"Good"
"Richard","M","gentle",0.09759949,"Good"
"Richard","M","approachable",0.19752683,"Good"
"Richard","M","love",0.21275857,"Good"
"Richard","M","cool",0.13344291,"Good"
"Charles","M","happy",0.24169353,"Good"
"Charles","M","agreeable",0.3079599,"Good"
"Charles","M","polite",0.26763418,"Good"
"Charles","M","civil",0.3918221,"Good"
"Charles","M","charming",0.31061703,"Good"
"Charles","M","gracious",0.40368313,"Good"
"Charles","M","gentle",0.28764707,"Good"
"Charles","M","approachable",0.3962986,"Good"
"Charles","M","love",0.34859836,"Good"
"Charles","M","cool",0.2649699,"Good"
"Thomas","M","happy",0.19456469,"Good"
"Thomas","M","agreeable",0.28964508,"Good"
"Thomas","M","polite",0.2728754,"Good"
"Thomas","M","civil",0.43060777,"Good"
"Thomas","M","charming",0.17953148,"Good"
"Thomas","M","gracious",0.34403092,"Good"
"Thomas","M","gentle",0.19752121,"Good"
"Thomas","M","approachable",0.37115502,"Good"
"Thomas","M","love",0.2535602,"Good"
"Thomas","M","cool",0.26524004,"Good"
"Christopher","M","happy",0.3349085,"Good"
"Christopher","M","agreeable",0.35750285,"Good"
"Christopher","M","polite",0.3264624,"Good"
"Christopher","M","civil",0.5306908,"Good"
"Christopher","M","charming",0.31086788,"Good"
"Christopher","M","gracious",0.41378635,"Good"
"Christopher","M","gentle",0.31858328,"Good"
"Christopher","M","approachable",0.45612568,"Good"
"Christopher","M","love",0.30702114,"Good"
"Christopher","M","cool",0.37073117,"Good"
"Daniel","M","happy",0.23364857,"Good"
"Daniel","M","agreeable",0.31064132,"Good"
"Daniel","M","polite",0.257645,"Good"
